"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Damian Rivera","NER","2021","W","2238","2.85","0.16","-0.07","0.36","0.07","0.48","3.84"
"","Aimé Mabika","FTL","2021","CB","1388","0.94","-0.06","2.02","0.05","-0.06","-0.06","2.83"
"","Aaron Molloy","MAD","2021","DM","2626","0.72","0.12","0.68","1.24","-0.26","0.16","2.65"
"","Jay Tee Kamara","NC","2021","CM","1515","0.94","0.06","-0.18","2.13","-0.65","0.18","2.49"
"","Marios Lomis","GVL","2021","ST","2084","-0.86","-0.17","-0.20","0.30","2.63","0.59","2.28"
"","Ryan Spaulding","NER","2021","FB","2522","0.38","0.12","0.68","-0.15","0.26","0.72","2.01"
"","Jonathan Bolanos","RIC","2021","W","2150","1.32","-0.24","0.26","0.03","0.50","0.13","2.00"
"","Jonathan Ricketts","CHA","2021","FB","2662","-0.02","0.21","-0.05","-0.29","1.62","0.52","1.98"
"","Andrew Booth","GVL","2021","CM","2142","-0.01","0.10","0.10","0.07","1.38","0.31","1.95"
"","Pierre Cayet","NER","2021","CB","1808","0.22","0.14","0.49","1.04","-0.14","0.04","1.79"
"","Connor Tobin","MAD","2021","CB","2757","0.38","-0.18","0.53","0.46","0.52","-0.06","1.65"
"","John Scearce","OMA","2021","CM","2350","0.06","-0.15","0.38","0.42","0.50","0.44","1.64"
"","Deri Corfe","TUC","2021","W","1922","1.27","-0.00","-0.34","-0.51","0.34","0.81","1.57"
"","Azaad Liadi","TRM","2021","ST","2087","-0.28","0.96","0.51","-0.06","0.32","0.11","1.56"
"","Garrett McLaughlin","TOR","2021","ST","1738","-0.10","0.11","0.75","-0.36","0.90","0.19","1.48"
"","Jason Ramos","CHA","2021","CB","2694","0.26","0.16","0.15","0.31","0.42","0.16","1.45"
"","Oalex Anderson","RIC","2021","W","866","-0.01","0.29","-0.05","-0.06","1.05","0.19","1.40"
"","Sean O'Hearn","NER","2021","CB","1997","0.12","0.08","0.88","0.98","-0.52","-0.18","1.36"
"","Christian Díaz","MAD","2021","FB","1386","-0.23","0.12","0.72","1.07","-0.21","-0.11","1.36"
"","Mitchell Curry","FTL","2021","ST","2021","0.82","-0.18","-0.23","0.04","0.49","0.40","1.34"
"","Bernard Kamungo","NTX","2021","W","1113","0.75","0.03","0.28","-0.08","0.27","0.08","1.33"
"","Kalil ElMedkhar","NTX","2021","W","1104","0.71","-0.07","0.26","0.31","-0.04","0.13","1.30"
"","Damia Viader I Masdeu","OMA","2021","FB","2637","0.64","0.08","0.60","-0.09","-0.25","0.31","1.29"
"","Derek Gebhard","MAD","2021","W","2434","1.06","0.31","0.02","-1.40","0.60","0.65","1.22"
"","Kobe Franklin","TOR","2021","FB","2346","-0.14","0.11","0.65","0.87","-0.26","-0.04","1.19"
"","Shaan Hundal","FTL","2021","ST","2029","-0.19","-0.08","-0.14","0.24","1.35","-0.01","1.18"
"","Jesús Ibarra","GVL","2021","W","1100","0.88","0.06","0.12","0.52","-0.27","-0.17","1.15"
"","Kevin Politz","TOR","2021","CB","1788","0.21","0.12","0.40","0.26","0.09","0.04","1.12"
"","Dominick Hernandez","NTX","2021","ST","1689","0.46","-0.39","0.13","0.89","-0.07","0.06","1.09"
"","Marco Micaletto","TRM","2021","W","2702","-0.01","0.48","-0.03","0.44","-0.24","0.39","1.03"
"","Collin Verfurth","NER","2021","CB","1761","0.07","0.11","0.25","0.46","0.20","-0.06","1.03"
"","Evan Conway","OMA","2021","ST","1196","-0.14","0.44","-0.08","0.03","0.43","0.25","0.93"
"","Luca Mastrantonio","TUC","2021","CB","1222","-0.12","0.08","0.83","0.42","-0.27","-0.01","0.92"
"","Ricky Ruiz","CHA","2021","W","2727","0.38","0.24","0.18","1.40","-0.91","-0.45","0.85"
"","Shak Adams","TUC","2021","W","1833","1.37","-0.11","0.08","-0.61","0.15","-0.05","0.84"
"","Charlie Dennis","TUC","2021","CM","1885","0.01","0.03","-0.08","0.24","0.30","0.29","0.78"
"","Hikaru Fujiwara","NER","2021","CM","705","-0.14","0.02","-0.03","0.47","0.35","0.09","0.77"
"","Lachlan McLean","GVL","2021","ST","924","-0.15","-0.09","-0.09","0.21","0.87","0.01","0.75"
"","Jayden Nelson","TOR","2021","W","743","0.23","-0.04","0.80","-0.20","-0.11","0.06","0.73"
"","Blake Frischknecht","CHA","2021","ST","1064","-0.14","-0.13","-0.11","-0.06","0.97","0.20","0.72"
"","Jiro Barriga Toyama","MAD","2021","FB","1610","0.20","0.24","0.26","0.16","-0.07","-0.07","0.72"
"","Nil Vinyals","RIC","2021","CM","2183","-0.25","0.14","0.20","1.04","-0.32","-0.11","0.71"
"","Josiah Trimmingham","MAD","2021","ST","564","-0.03","-0.06","0.10","-0.11","0.55","0.25","0.70"
"","Emiliano Terzaghi","RIC","2021","ST","2498","-1.57","0.45","-0.12","-0.13","0.97","1.06","0.68"
"","Jimmie Villalobos","CHA","2021","CM","2003","0.28","-0.19","0.36","0.08","0.23","-0.10","0.65"
"","Juan Galindrez","CHA","2021","ST","1240","-1.17","-0.10","-0.30","-0.40","1.98","0.62","0.64"
"","Michael Maldonado","NTX","2021","FB","1677","-0.02","-0.02","0.18","0.94","-0.35","-0.12","0.61"
"","Jake Rozhansky","NER","2021","DM","2088","0.53","-0.05","0.31","0.57","-0.43","-0.32","0.61"
