"","Player","Team","Season","Position","Minutes","Shots","SoT","G","xG","xPlace","G-xG","KeyP","A","xA","A-xA","xG+xA","PA","xPA"
"","Emiliano Terzaghi","RIC","2021","ST","2498","85","40","18","15.62","1.98","2.38","16","2","1.17","0.83","16.79","9.52","9.82"
"","Marios Lomis","GVL","2021","ST","2084","68","34","14","12.33","2.49","1.67","15","1","1.49","-0.49","13.83","7.17","8.56"
"","Marco Micaletto","TRM","2021","W","2702","77","26","11","9.05","-1.21","1.95","39","3","4.00","-1.00","13.04","6.93","6.50"
"","Mitchell Curry","FTL","2021","ST","2021","45","23","8","8.13","-0.06","-0.13","21","5","4.87","0.13","13.00","5.41","6.07"
"","Shaan Hundal","FTL","2021","ST","2029","40","19","11","9.80","-0.89","1.20","20","3","2.67","0.33","12.47","5.95","6.44"
"","Garrett McLaughlin","TOR","2021","ST","1738","49","22","8","10.89","-2.10","-2.89","12","1","1.20","-0.20","12.09","4.69","8.45"
"","Greg Hurst","OMA","2021","ST","2375","69","26","13","9.55","1.75","3.45","22","1","1.50","-0.50","11.04","4.54","5.23"
"","Damian Rivera","NER","2021","W","2238","67","22","6","7.91","-2.67","-1.91","28","1","2.82","-1.82","10.74","2.55","5.11"
"","Juan Galindrez","CHA","2021","ST","1240","45","19","10","9.11","-0.97","0.89","5","1","0.63","0.37","9.74","5.14","6.67"
"","Justin Rennicks","NER","2021","ST","2290","44","19","5","7.12","-0.66","-2.12","27","3","2.55","0.45","9.67","2.31","5.04"
"","Azaad Liadi","TRM","2021","ST","2087","47","20","9","7.78","-0.27","1.22","18","5","1.64","3.36","9.42","4.86","4.95"
"","Charlie Dennis","TUC","2021","CM","1885","44","17","9","5.66","1.26","3.34","42","8","3.65","4.35","9.31","5.48","3.41"
"","Ricky Ruiz","CHA","2021","W","2727","28","14","4","3.01","1.49","0.99","57","10","6.16","3.84","9.17","2.15","2.67"
"","Luca Mayr-Fälten","TRM","2021","FB","2381","63","22","5","3.43","0.84","1.57","51","6","5.52","0.48","8.95","4.27","2.65"
"","Damia Viader I Masdeu","OMA","2021","FB","2637","34","17","6","2.98","0.49","3.02","58","5","5.40","-0.40","8.37","1.49","1.54"
"","Gibran Rayo","NTX","2021","W","2098","47","19","6","5.99","0.50","0.01","24","2","2.36","-0.36","8.35","2.07","3.90"
"","Deri Corfe","TUC","2021","W","1922","69","31","7","5.73","0.81","1.27","19","2","2.09","-0.09","7.82","3.49","3.37"
"","Jake Keegan","MAD","2021","ST","2125","64","24","6","6.21","-0.20","-0.21","15","3","1.41","1.59","7.62","3.67","3.95"
"","Jonathan Bolanos","RIC","2021","W","2150","46","17","5","5.34","-0.99","-0.34","23","1","2.14","-1.14","7.48","2.73","4.05"
"","Jay Tee Kamara","NC","2021","CM","1515","32","17","4","1.75","2.33","2.25","33","5","5.50","-0.50","7.25","1.83","0.99"
"","Derek Gebhard","MAD","2021","W","2434","44","14","5","5.51","-0.47","-0.51","22","1","1.73","-0.73","7.24","3.76","4.46"
"","Mark Hernández","CHA","2021","W","1270","38","13","5","4.54","0.09","0.46","23","3","2.63","0.37","7.17","2.28","4.18"
"","Jonathan Ricketts","CHA","2021","FB","2662","31","11","4","3.32","1.36","0.68","22","3","3.71","-0.71","7.03","1.35","1.58"
"","Nil Vinyals","RIC","2021","CM","2183","24","11","2","2.01","1.07","-0.01","49","4","5.00","-1.00","7.02","2.14","1.51"
"","Selmir Miscic","NC","2021","W","1548","36","16","4","6.14","-1.08","-2.14","17","3","0.85","2.15","6.99","2.00","3.51"
"","Kazu","NTX","2021","W","1638","36","17","5","5.14","0.61","-0.14","16","2","1.86","0.14","6.99","1.01","2.51"
"","Giovanni Calixtro","TUC","2021","ST","1725","41","11","4","5.14","-0.60","-1.14","16","4","1.81","2.19","6.95","1.35","2.89"
"","Shak Adams","TUC","2021","W","1833","29","13","8","4.12","-0.03","3.88","24","2","2.61","-0.61","6.73","5.41","1.96"
"","Dominick Hernandez","NTX","2021","ST","1689","28","13","3","3.44","-0.40","-0.44","28","3","3.28","-0.28","6.71","0.97","1.46"
"","Devin Boyce","OMA","2021","W","2192","34","14","4","2.17","2.41","1.83","39","8","4.25","3.75","6.41","1.18","1.20"
"","Allen Gavilanes","GVL","2021","W","1385","15","4","2","1.65","-0.01","0.35","36","3","4.75","-1.75","6.40","0.58","0.97"
"","Evan Conway","OMA","2021","ST","1196","35","20","10","5.69","1.00","4.31","12","1","0.58","0.42","6.27","4.57","3.43"
"","Ryan Sierakowski","MAD, NER","2021","ST","2031","41","11","6","5.18","-1.77","0.82","11","0","1.07","-1.07","6.25","4.28","4.20"
