"","Player","Team","Season","Position","Minutes","Passes","Pass %","xPass %","Score","Per100","Distance","Vertical","Touch %","Games"
"","Jake Rozhansky","NER","2021","DM","2088","1403","90.0%","86.6%","47.12","3.36","19.83","3.22","10.7%","23"
"","Aaron Molloy","MAD","2021","DM","2626","2016","82.4%","80.3%","43.52","2.16","22.84","5.51","13.6%","27"
"","Noah Franke","TUC","2021","FB","2424","1269","81.3%","78.0%","41.37","3.26","18.88","6.32","10.9%","25"
"","Jorge Almaguer","NTX","2021","CM","1993","937","88.8%","84.5%","39.86","4.25","19.55","4.19","8.2%","23"
"","Curtis Thorn","TRM","2021","CB","2589","1504","83.7%","81.2%","37.12","2.47","20.36","3.63","11.2%","27"
"","Ferrety Sousa","OMA","2021","FB","2399","1292","77.5%","74.6%","37.08","2.87","20.58","7.53","10.4%","27"
"","José Carrera-Garcia","CHA","2021","CM","2684","1469","83.7%","81.2%","36.58","2.49","20.02","3.97","11.2%","27"
"","Connor Tobin","MAD","2021","CB","2757","1561","84.8%","82.5%","35.69","2.29","24.79","10.81","10.2%","28"
"","Navarro","CHA","2021","CB","2102","1236","85.8%","83.0%","34.48","2.79","24.43","10.11","10.9%","22"
"","Kevin Politz","TOR","2021","CB","1788","1092","92.3%","89.3%","33.23","3.04","22.82","7.63","9.8%","21"
"","Michael Maldonado","NTX","2021","FB","1677","972","83.6%","80.3%","32.97","3.39","22.69","7.62","7.7%","25"
"","Tyler Polak","GVL","2021","FB","2661","1227","80.5%","78.0%","31.06","2.53","20.56","6.36","9.9%","28"
"","Brandon Fricke","GVL","2021","CB","2531","1179","81.7%","79.2%","29.60","2.51","27.53","11.09","9.6%","27"
"","Abdi Mohamed","GVL","2021","FB","2129","1173","73.8%","71.3%","29.43","2.51","22.58","5.89","10.3%","24"
"","Collin Verfurth","NER","2021","CB","1761","1118","89.3%","86.8%","27.40","2.45","24.23","9.54","10.3%","19"
"","Luca Petrasso","TOR","2021","FB","2611","1645","78.0%","76.7%","22.40","1.36","19.71","2.52","11.4%","28"
"","Christian Díaz","MAD","2021","FB","1386","939","79.1%","76.8%","21.66","2.31","21.01","8.09","9.1%","19"
"","Sergi Nus","TRM","2021","CB","1955","992","85.3%","83.1%","21.54","2.17","24.27","8.93","8.4%","23"
"","Jonathan Esparza","CHA","2021","FB","1792","900","73.2%","70.8%","21.49","2.39","20.95","7.15","7.4%","25"
"","Maximiliano Schenfeld","TUC","2021","FB","2178","1444","79.2%","77.7%","21.46","1.49","21.37","5.52","12.7%","23"
"","Lars Eckenrode","TRM","2021","CB","1345","679","89.1%","86.0%","20.97","3.09","22.87","9.04","9.7%","14"
"","Daltyn Knutson","OMA","2021","CB","1953","868","84.9%","82.6%","20.31","2.34","24.23","9.85","8.5%","21"
