Player,Team,Season,Position,Minutes,Shots,SoT,G,xG,xPlace,G-xG,KeyP,A,xA,A-xA,xG+xA,PA,xPA,Passes,Pass %,xPass %,Score,Per100,Distance,Vertical,Touch %,Games,Dribbling,Fouling,Interrupting,Passing,Receiving,Shooting,Goals Added
Aaron Messer,NC,2021,CB,1,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0%,95.0%,0.05,5.04,10.5,-10.35,0.2%,1,-0.0,0.0,0.01,-0.0,-0.0,-0.0,0.01
Aaron Molloy,MAD,2021,DM,2626,44,14,4,2.31,0.51,1.69,54,3,3.21,-0.21,5.53,1.96,1.5,2016,82.4%,80.3%,43.52,2.16,22.84,5.51,13.6%,27,0.72,0.12,0.68,1.24,-0.26,0.16,2.65
Aaron Walker,GVL,2021,CM,2356,32,8,5,2.55,1.56,2.45,17,3,1.21,1.79,3.76,1.77,1.68,1011,82.1%,81.0%,10.73,1.06,22.72,4.97,9.6%,25,-0.39,-0.04,0.2,-0.1,-0.32,0.37,-0.28
Abdi Mohamed,GVL,2021,FB,2129,11,3,0,0.57,-0.22,-0.57,25,3,3.19,-0.19,3.76,0.0,0.35,1173,73.8%,71.3%,29.43,2.51,22.58,5.89,10.3%,24,-0.18,-0.17,0.19,0.56,-0.25,-0.14,0.0
Abdul Illal Osumanu,OMA,2021,CB,1268,1,0,0,0.07,-0.07,-0.07,0,0,0.0,0.0,0.07,0.0,0.09,550,88.5%,87.3%,6.88,1.25,22.73,6.25,7.2%,15,-0.11,0.09,0.64,-0.24,-0.35,-0.18,-0.16
Abel Caputo,FTL,2021,DM,1234,7,1,1,0.77,-0.01,0.23,8,0,0.66,-0.66,1.43,0.39,0.42,464,84.9%,84.7%,1.16,0.25,20.77,2.01,4.9%,21,-0.04,0.24,-0.12,-0.22,-0.11,-0.22,-0.47
Abuchi Obinwa,TRM,2021,CM,1654,9,0,0,0.43,-0.43,-0.43,8,1,0.61,0.39,1.05,0.0,0.23,706,85.0%,86.3%,-9.53,-1.35,20.65,1.59,6.9%,23,-0.28,-0.18,-0.29,-0.28,-0.62,-0.24,-1.9
Adrian Billhardt,TRM,2021,W,225,9,2,0,0.63,-0.4,-0.63,2,1,0.2,0.8,0.83,0.0,0.44,73,64.4%,69.4%,-3.69,-5.05,21.01,0.93,5.2%,4,0.02,-0.02,0.07,-0.0,0.16,0.1,0.32
Aimé Mabika,FTL,2021,CB,1388,5,2,0,0.82,-0.47,-0.82,1,0,0.29,-0.29,1.1,0.0,0.23,822,90.4%,88.2%,17.68,2.15,23.49,7.45,11.6%,14,0.94,-0.06,2.02,0.05,-0.06,-0.06,2.83
Akira Fitzgerald,RIC,2021,GK,2685,0,0,0,0.0,0.0,0.0,1,0,0.09,-0.09,0.09,0.0,0.0,842,77.8%,77.4%,3.51,0.42,33.66,23.79,7.0%,27,,,,,,,
