Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %",FB,CB,CM,AM,W,CF,GK,Rating
J. Shaffelburg,Toronto,Toronto II,"AM,W",22.0,2140000.0,,1,87,0,0.02,0,0.0,21.72,47.62,Canada,Canada,left,181,68,no,6.21,6.21,50.0,2.07,100.0,1.03,1.67,0.0,2.07,3.33,2.07,0,0.0,0,0.0,5.17,0.0,0,0.0,0.02,0,0.0,1,1.03,0.0,0.0,0.0,4.14,0.0,4.14,0.0,0.0,0.0,0.0,9.31,55.56,12.41,41.67,8.28,4.14,0.0,26.9,6.21,1.03,26.9,61.54,10.34,80.0,6.21,100.0,7.24,14.29,21.72,76.19,1.03,0.0,16.59,35.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,100.0,4.14,25.0,0.0,0.0,3.1,1.03,5.17,80.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,,,,AM,W,,,6.8
J. Marshall-Rutty,Toronto,Toronto II,"W,CF",17.0,1605000.0,,7,510,1,0.34,1,1.12,16.24,42.39,Canada,Canada,,175,64,no,5.47,3.0,70.59,1.06,66.67,0.71,0.92,0.0,2.65,3.46,0.88,1,0.18,0,0.0,2.12,0.18,1,0.18,0.06,0,0.0,2,0.35,50.0,50.0,0.18,2.47,35.71,0.53,33.33,1.94,36.36,0.35,3.71,28.57,9.18,30.77,2.12,1.94,0.53,25.24,1.24,1.24,33.35,87.3,5.29,73.33,10.41,98.31,11.12,82.54,30.18,92.4,0.88,40.0,15.58,23.04,0.2,1.41,0.0,0.0,0.35,0.0,0.35,3.18,77.78,1.94,36.36,0.18,0.0,0.53,0.88,2.47,71.43,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.88,0,0.0,,,,,W,CF,,6.97
J. Nelson,Toronto,Toronto II,"W,CF",18.0,963000.0,2021-11-30,9,801,3,2.51,0,0.32,21.95,42.13,Canada,"Canada, Jamaica",right,172,66,no,4.19,3.33,59.26,0.99,37.5,0.25,0.36,0.0,1.97,2.84,0.49,1,0.11,0,0.0,5.18,0.34,3,0.37,0.31,0,0.0,15,1.85,26.67,20.0,0.0,1.36,36.36,0.62,40.0,0.74,33.33,0.37,9.12,40.54,14.92,37.19,3.33,3.45,1.48,27.74,1.11,1.97,33.29,88.52,5.67,73.91,10.36,96.43,10.48,85.88,30.21,91.84,1.97,75.0,17.18,28.74,0.04,1.23,0.12,0.0,1.23,40.0,0.37,2.47,80.0,2.34,36.84,0.86,14.29,0.99,0.25,2.96,87.5,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.99,0,0.0,,,,,W,CF,,7.49
L. Caicedo,New England II,New England II,CM,25.0,802500.0,,2,175,0,0.02,0,0.34,24.17,48.94,Colombia,Colombia,right,171,69,no,10.8,9.26,50.0,4.63,77.78,1.03,1.82,0.51,5.14,9.09,3.09,1,0.51,0,0.0,2.06,0.0,0,0.0,0.01,0,0.0,1,0.51,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.51,0.0,0.51,2.57,60.0,7.2,50.0,1.54,1.03,1.03,41.14,0.0,3.09,56.57,95.45,12.86,88.0,5.14,100.0,32.91,98.44,54.0,98.1,2.06,50.0,18.21,20.09,0.17,0.51,0.0,0.0,0.51,100.0,0.0,9.26,88.89,1.03,50.0,0.51,0.0,1.03,0.0,6.69,92.31,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,,,CM,,,,,7.25
N. Burgess,Dallas,North Texas,CB,24.0,642000.0,,2,182,1,0.35,0,0.18,14.84,50.0,United States,United States,right,193,84,no,7.91,4.45,66.67,6.92,35.71,0.0,0.0,0.99,4.95,6.52,0.0,0,0.0,0,0.0,0.49,0.49,1,0.49,0.17,0,0.0,1,0.49,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,35.11,0.99,0.0,46.98,83.16,20.27,70.73,2.47,100.0,20.27,92.68,36.59,94.59,10.38,42.86,24.67,42.26,0.09,0.49,0.0,0.0,0.0,0.0,0.0,8.41,52.94,1.48,100.0,0.0,0.0,1.98,0.0,10.88,68.18,0,,0,,0,0.0,0.0,0.0,,,1.98,,,0.0,0.0,0.0,0.0,0,0.0,,CB,,,,,,7.45
Maciel,New England,New England II,CM,21.0,642000.0,,4,334,0,0.06,1,0.16,16.71,35.48,Brazil,Brazil,,168,0,no,6.2,6.74,48.0,2.69,10.0,0.0,0.0,0.0,2.96,3.79,2.16,2,0.54,0,0.0,1.89,0.0,0,0.0,0.02,0,0.0,2,0.54,0.0,0.0,0.27,0.27,100.0,0.27,100.0,0.0,0.0,0.27,1.89,71.43,4.31,31.25,1.35,1.08,0.54,39.61,0.0,0.27,53.35,85.86,16.71,70.97,3.23,91.67,26.68,93.94,47.96,88.76,5.12,57.89,20.51,42.66,0.04,0.54,0.0,0.0,1.35,20.0,0.27,13.47,72.0,1.08,50.0,2.69,30.0,0.27,0.27,8.35,70.97,0,,0,,0,0.0,0.0,0.0,,,0.27,,,0.0,0.0,0.0,0.0,0,0.0,,,CM,,,,,6.85
N. Okello,Toronto,Toronto II,CM,21.0,588500.0,,3,267,1,0.81,0,0.0,20.9,59.68,Canada,Canada,right,193,82,no,6.74,6.4,78.95,4.72,57.14,0.0,0.0,0.0,1.69,2.31,1.01,0,0.0,0,0.0,3.03,0.34,0,0.0,0.27,0,0.0,3,1.01,66.67,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,62.5,5.39,37.5,0.67,3.71,0.0,36.07,0.67,0.0,43.48,86.82,9.1,74.07,6.4,89.47,16.18,85.42,40.79,90.08,2.7,37.5,16.63,36.33,0.0,0.0,0.0,0.0,1.01,66.67,0.0,6.07,55.56,1.01,66.67,1.01,66.67,1.35,0.0,1.69,40.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,1,100.0,,,CM,,,,,6.87
R. Priso,Toronto,Toronto II,CM,19.0,535000.0,2021-11-30,4,382,0,0.03,0,0.03,15.41,32.0,Canada,Canada,left,176,70,no,6.16,5.86,36.84,2.16,57.14,1.23,1.79,0.31,2.77,4.03,2.77,4,0.94,0,0.0,0.92,0.0,0,0.0,0.01,0,0.0,1,0.31,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.31,0.0,0.0,2.77,33.33,5.24,29.41,0.31,3.08,0.31,46.54,0.0,0.62,57.33,87.63,17.57,82.46,5.24,94.12,25.27,89.02,52.71,90.64,4.32,57.14,19.17,51.62,0.01,0.31,0.0,0.31,0.62,0.0,0.0,12.02,87.18,0.62,0.0,0.92,33.33,0.31,0.0,8.94,75.86,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,,,CM,,,,,6.53
E. Gallardo,Toronto,Toronto II,"W,CF",25.0,535000.0,,3,89,0,0.56,1,0.6,26.29,42.31,Venezuela,Venezuela,right,167,64,no,3.03,3.03,33.33,6.07,33.33,0.0,0.0,0.0,2.02,3.33,3.03,0,0.0,0,0.0,8.09,0.0,0,0.0,0.57,0,0.0,3,3.03,33.33,0.0,1.01,7.08,28.57,1.01,0.0,6.07,33.33,1.01,5.06,60.0,12.13,50.0,7.08,3.03,2.02,17.19,2.02,3.03,27.3,77.78,5.06,100.0,6.07,100.0,11.12,54.55,20.22,95.0,0.0,0.0,15.3,0.0,0.61,2.02,0.0,0.0,2.02,100.0,2.02,2.02,100.0,5.06,20.0,0.0,0.0,2.02,3.03,5.06,60.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,,,,,W,CF,,6.8
E. Cerrillo,Dallas,North Texas,CM,21.0,535000.0,,1,98,0,0.0,1,0.35,14.69,68.75,United States,United States,right,178,82,no,11.02,10.1,81.82,0.92,0.0,0.0,0.0,0.92,2.76,3.75,1.84,1,0.92,1,0.92,1.84,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.92,1.84,50.0,0.92,100.0,0.92,0.0,0.0,0.92,100.0,3.67,50.0,3.67,0.92,0.92,35.82,0.0,0.0,52.35,89.47,14.69,75.0,11.94,92.31,20.2,100.0,45.92,92.0,4.59,80.0,18.42,44.27,0.32,0.92,0.0,0.0,0.0,0.0,0.92,7.35,75.0,0.0,0.0,0.0,0.0,0.0,0.92,5.51,83.33,0,,0,,0,0.0,0.0,0.0,,,2.76,,,0.0,0.0,0.0,0.0,0,0.0,,,CM,,,,,7.9
