Year,Competition,Player Name,Nat.,Age,Height(Unit:m),Birthdate,Club,Position,Position Detail,Appearances,Assists,Penalty Kicks,Minutes Played,Minutes Per Goals,Goals Per Match,Goals,League Level,Salary,Salary Date,Joined Date,Contract Until,Player Agent,Date of Last Contract Extension,Highest Market Value,Date of Highest Value,player_href
2021,USL1,Emiliano Terzaghi,Argentina,28 (29),1.7,1993-03-06,Richmond Kickers,CF,attack - Centre-Forward,27.0,2,4.0,2302.0,128,0.67,18,Third Tier,220000,,2020-01-24,2022-11-30,CMWSportsMngt,2020-12-01,385000,,https://www.transfermarkt.us/emiliano-terzaghi/profil/spieler/193779
2021,USL1,Marios Lomis,Netherlands-Greece,26 (27),1.88,1995-01-24,Greenville Triumph SC,CF,attack - Centre-Forward,26.0,1,2.0,1925.0,138,0.54,14,,220000,,2022-01-25,2022-06-30,Topnotch Management,,275000,,https://www.transfermarkt.us/marios-lomis/profil/spieler/323917
2021,USL1,Greg Hurst,Scotland,24 (25),1.85,1997-04-08,Union Omaha,CF,attack - Centre-Forward,28.0,2,1.0,2200.0,169,0.46,13,Second Tier,248000,,2022-01-17,2023-11-30,,,248000,,https://www.transfermarkt.us/greg-hurst/profil/spieler/365032
2021,USL1,Marco Micaletto,Italy-England,25 (26),1.78,1996-01-19,South Georgia Tormenta FC,AM,midfield - Attacking Midfield,28.0,3,5.0,2496.0,227,0.39,11,Third Tier,248000,,2022-02-25,2022-11-30,NOVERA Sports,,248000,,https://www.transfermarkt.us/marco-micaletto/profil/spieler/511763
2021,USL1,Shaan Hundal,Canada-India,22,1.8,1999-07-14,Fort Lauderdale CF,CF,attack - Centre-Forward,27.0,3,0.0,1870.0,187,0.37,10,Third Tier,193000,,2021-04-09,2022-11-30,"Jordie Isen, Football Agent",2022-02-24,193000,,https://www.transfermarkt.us/shaan-hundal/profil/spieler/436294
2021,USL1,Juan Galindrez,Colombia,27,1.82,1994-07-04,Chattanooga Red Wolves SC,CF,attack - Centre-Forward,27.0,1,0.0,1069.0,107,0.37,10,Third Tier,165000,,2021-02-23,2022-11-30,,2021-12-10,165000,,https://www.transfermarkt.us/juan-galindrez/profil/spieler/600903
2021,USL1,Evan Conway,United States,23 (24),1.84,1997-11-07,Union Omaha,CF,attack - Centre-Forward,16.0,1,0.0,1108.0,111,0.63,10,Second Tier,248000,,2022-01-06,2022-11-30,FSG USA,,248000,,https://www.transfermarkt.us/evan-conway/profil/spieler/737153
2021,USL1,Charlie Dennis,England,26,1.88,1995-09-28,FC Tucson,CM,midfield - Central Midfield,25.0,8,4.0,1807.0,201,0.36,9,Second Tier,248000,,2022-01-19,2022-11-30,STAG Management,,248000,,https://www.transfermarkt.us/charlie-dennis/profil/spieler/563079
2021,USL1,Mitchell Curry,England,22,1.78,1999-07-14,Fort Lauderdale CF,CF,attack - Centre-Forward,23.0,4,0.0,1838.0,230,0.35,8,Second Tier,165000,,2022-01-27,2022-11-30,Refuel Performance Management,,165000,,https://www.transfermarkt.us/mitchell-curry/profil/spieler/399451
2021,USL1,Garrett McLaughlin,United States,23 (24),1.83,1997-11-10,Toronto FC II,CF,attack - Centre-Forward,25.0,1,2.0,1575.0,197,0.32,8,Third Tier,138000,,2022-02-11,2022-11-30,PRO FC,,138000,,https://www.transfermarkt.us/garrett-mclaughlin/profil/spieler/636464
2021,USL1,Azaad Liadi,United States,23,1.85,1998-05-14,South Georgia Tormenta FC,W,attack - Left Winger,27.0,5,0.0,1943.0,278,0.26,7,Second Tier,193000,,2022-01-28,2022-11-30,ICM Stellar Sports,,193000,,https://www.transfermarkt.us/azaad-liadi/profil/spieler/744402
2021,USL1,Gibran Rayo,United States-Mexico,20,1.75,2001-10-14,North Texas SC,W,attack - Left Winger,26.0,2,0.0,2014.0,288,0.27,7,Third Tier,220000,,2022-03-15,2022-11-30,Relatives,,220000,,https://www.transfermarkt.us/gibran-rayo/profil/spieler/666795
2021,USL1,Shak Adams,United States,23,1.7,1998-09-07,FC Tucson,W,attack - Left Winger,26.0,2,0.0,1728.0,247,0.27,7,Second Tier,165000,,2022-01-20,2022-11-30,,,165000,,https://www.transfermarkt.us/shak-adams/profil/spieler/763520
2021,USL1,Deri Corfe,England,23 (24),1.83,1998-03-03,FC Tucson,W,midfield - Left Midfield,27.0,1,0.0,1819.0,260,0.26,7,Third Tier,110000,,2021-04-13,2022-11-30,,2021-12-02,110000,,https://www.transfermarkt.us/deri-corfe/profil/spieler/735814
2021,USL1,Damia Viader,Spain,23 (24),1.75,1998-02-19,Union Omaha,FB,Defender - Left-Back,28.0,5,1.0,2427.0,405,0.21,6,Second Tier,220000,,2022-03-02,2022-11-30,,,220000,,https://www.transfermarkt.us/damia-viader/profil/spieler/737151
2021,USL1,Jake Keegan,United States,30 (31),1.76,1991-04-21,Forward Madison FC,CF,attack - Centre-Forward,23.0,4,0.0,1951.0,325,0.26,6,Third Tier,193000,,2021-12-21,2022-11-30,no agent,,193000,,https://www.transfermarkt.us/jake-keegan/profil/spieler/310391
2021,USL1,Kazu,Brazil,21 (22),1.75,2000-03-18,North Texas SC,FB,Defender - Left-Back,26.0,2,0.0,1539.0,257,0.23,6,,165000,,2020-01-01,,Under,2021-01-29,165000,,https://www.transfermarkt.us/kazu/profil/spieler/428993
2021,USL1,Damián Rivera,United States-Guatemala,18 (19),1.78,2002-12-08,New England Revolution II,W,midfield - Left Midfield,25.0,1,1.0,2093.0,349,0.24,6,First Tier,220000,,2019-11-08,2022-12-31,,,220000,,https://www.transfermarkt.us/damian-rivera/profil/spieler/722649
2021,USL1,Ryan Sierakowski,United States-Poland,24,1.85,1997-08-07,for 2 clubs,W,attack - Right Winger,27.0,0,0.0,1852.0,309,0.22,6,,165000,,2021-12-01,,Nordic Sky,,193000,,https://www.transfermarkt.us/ryan-sierakowski/profil/spieler/509907
2021,USL1,Luca Mayr-Fälten,Austria-Sweden,25 (26),1.76,1996-04-06,South Georgia Tormenta FC,W,midfield - Right Midfield,26.0,5,0.0,2217.0,443,0.19,5,,165000,,2022-01-01,2022-06-30,,,165000,,https://www.transfermarkt.us/luca-mayr-falten/profil/spieler/202415
2021,USL1,Justin Rennicks,United States,22 (23),1.72,1999-03-20,New England Revolution II,CF,attack - Centre-Forward,27.0,3,0.0,2138.0,428,0.19,5,First Tier,193000,,2019-01-18,2022-12-31,Wasserman,2021-12-03,193000,,https://www.transfermarkt.us/justin-rennicks/profil/spieler/368907
2021,USL1,Aaron Walker,United States,31,1.8,1990-06-04,Greenville Triumph SC,CM,midfield - Central Midfield,25.0,3,1.0,2142.0,428,0.2,5,Third Tier,193000,,2019-02-05,2022-11-30,,2022-01-11,193000,,https://www.transfermarkt.us/aaron-walker/profil/spieler/373782
