Player,Wy_Position,Wy_Contract expires,Wy_Team,Wy_Team within selected timeframe,Wy_Age,Wy_Birth country,Wy_Passport country,Wy_Foot,Wy_Market value,Wy_Rating,Wy_Rating_predict,Wy_Rating_diff,TM_Salary,TM_Salary Date,TM_Highest Market Value,TM_Date of Highest Value,TM_Joined Date,TM_Contract Until,TM_Date of Last Contract Extension,TM_Player Agent,TM_Player Name,TM_Nat.,TM_Age,TM_Club,TM_Position Detail,TM_player_href
J. Shaffelburg,"AM,W",,Toronto,Toronto II,22.0,Canada,Canada,left,2140000.0,6.8,6.5779058956307015,-0.22209410436929833,,,,,,,,,,,,,,
C. Dennis,"CM,AM",,Tucson,Tucson,26.0,United States,United States,,240750.0,7.23,7.014854928922772,-0.21514507107722824,248000,,248000,,2022-01-19,2022-11-30,,STAG Management,Charlie Dennis,England,26,FC Tucson,midfield - Central Midfield,https://www.transfermarkt.us/charlie-dennis/profil/spieler/563079
G. Acosta,AM,2021-11-30,Fort Lauderdale,Fort Lauderdale,21.0,United States,"United States, Colombia",right,214000.0,7.18,7.0224644334378645,-0.1575355665621352,220000,,220000,,2020-01-01,2022-12-31,2022-01-13,YMU Group,George Acosta,United States-Colombia,21 (22),Fort Lauderdale CF,midfield - Attacking Midfield,https://www.transfermarkt.us/george-acosta/profil/spieler/370975
D. Rivera,"AM,W",2021-11-30,New England II,New England II,18.0,United States,United States,right,214000.0,7.12,6.929153205704686,-0.19084679429531448,220000,,220000,,2019-11-08,2022-12-31,,,Damián Rivera,United States-Guatemala,18 (19),New England Revolution II,midfield - Left Midfield,https://www.transfermarkt.us/damian-rivera/profil/spieler/722649
N. Buck,AM,,New England II,New England II,16.0,United States,United States,unknown,214000.0,6.94,6.959227371609086,0.01922737160908561,220000,,220000,,2022-01-18,2025-12-31,,Agent is known - Player under 18,Noel Buck,United States-England,16 (17),New England Revolution II,midfield - Central Midfield,https://www.transfermarkt.us/noel-buck/profil/spieler/882657
L. Arriaga,"CM,AM",,North Carolina FC,North Carolina FC,20.0,United States,United States,right,160500.0,6.82,6.88692806591007,0.06692806591006928,165000,,220000,,2021-03-11,2022-11-30,2021-12-01,,Luis Arriaga,United States,20 (21),North Carolina FC,midfield - Attacking Midfield,https://www.transfermarkt.us/luis-arriaga/profil/spieler/469856
Kazu,"FB,AM,W",,Coritiba U23,North Texas,21.0,Brazil,"Brazil, Japan",left,160500.0,6.9,6.915318468863653,0.015318468863652512,165000,,165000,,2020-01-01,,2021-01-29,Under,Kazu,Brazil,21 (22),North Texas SC,Defender - Left-Back,https://www.transfermarkt.us/kazu/profil/spieler/428993
Kazu,"FB,AM,W",,Coritiba U23,North Texas,21.0,Brazil,"Brazil, Japan",left,160500.0,6.9,6.915318468863653,0.015318468863652512,165000,,165000,,2020-01-01,,2021-01-29,Under,Kazu,Brazil,22,North Texas SC,Defender - Left-Back,https://www.transfermarkt.us/kazu/profil/spieler/428993
Kazu,"FB,AM,W",,Coritiba U23,North Texas,21.0,Brazil,"Brazil, Japan",left,160500.0,6.9,6.915318468863653,0.015318468863652512,165000,,165000,,2020-01-01,,2021-01-29,Under,Kazu,Brazil,22,North Texas SC,Defender - Left-Back,https://www.transfermarkt.us/kazu/profil/spieler/428993
Kazu,"FB,AM,W",,Coritiba U23,North Texas,21.0,Brazil,"Brazil, Japan",left,160500.0,6.9,6.915318468863653,0.015318468863652512,165000,,165000,,2020-01-01,,2021-01-29,Under,Kazu,Brazil,22,North Texas SC,Defender - Left-Back,https://www.transfermarkt.us/kazu/profil/spieler/428993
R. Ruiz,"AM,W,CF",,Chattanooga Red Wolves,Chattanooga Red Wolves,25.0,United States,United States,,160500.0,7.25,7.078681124569081,-0.17131887543091917,165000,,165000,,2022-02-23,2022-11-30,,FSG USA,Ricky Ruiz,United States,24 (25),Chattanooga Red Wolves SC,midfield - Right Midfield,https://www.transfermarkt.us/ricky-ruiz/profil/spieler/758827
S. Adams,"AM,W",,Tucson,Tucson,23.0,United States,United States,,160500.0,6.83,6.870909449519992,0.04090944951999198,165000,,165000,,2022-01-20,2022-11-30,,,Shak Adams,United States,23,FC Tucson,attack - Left Winger,https://www.transfermarkt.us/shak-adams/profil/spieler/763520
L. McLean,"AM,CF",,Greenville Triumph,Greenville Triumph,25.0,Australia,Australia,,160500.0,6.91,6.743649186110055,-0.16635081388994521,165000,,165000,,2021-12-17,2022-11-30,,First Team,Lachlan McLean,Australia,25 (26),Greenville Triumph SC,attack - Centre-Forward,https://www.transfermarkt.us/lachlan-mclean/profil/spieler/751149
B. Kamungo,"AM,W,CF",2022-11-30,North Texas,North Texas,19.0,Tanzania,Tanzania,unknown,160500.0,6.82,6.890554513062401,0.07055451306240101,165000,,165000,,2021-03-25,2022-11-30,,D2PSports,Bernard Kamungo,Tanzania,19 (20),North Texas SC,attack - Right Winger,https://www.transfermarkt.us/bernard-kamungo/profil/spieler/876809
B. Kamungo,"AM,W,CF",2022-11-30,North Texas,North Texas,19.0,Tanzania,Tanzania,unknown,160500.0,6.82,6.890554513062401,0.07055451306240101,165000,,165000,,2021-03-25,2022-11-30,,D2PSports,Bernard Kamungo,Tanzania,20,North Texas SC,attack - Right Winger,https://www.transfermarkt.us/bernard-kamungo/profil/spieler/876809
B. Kamungo,"AM,W,CF",2022-11-30,North Texas,North Texas,19.0,Tanzania,Tanzania,unknown,160500.0,6.82,6.890554513062401,0.07055451306240101,165000,,165000,,2021-03-25,2022-11-30,,D2PSports,Bernard Kamungo,Tanzania,20,North Texas SC,attack - Right Winger,https://www.transfermarkt.us/bernard-kamungo/profil/spieler/876809
B. Kamungo,"AM,W,CF",2022-11-30,North Texas,North Texas,19.0,Tanzania,Tanzania,unknown,160500.0,6.82,6.890554513062401,0.07055451306240101,165000,,165000,,2021-03-25,2022-11-30,,D2PSports,Bernard Kamungo,Tanzania,20,North Texas SC,attack - Right Winger,https://www.transfermarkt.us/bernard-kamungo/profil/spieler/876809
M. Bolduc,"CM,AM,W",,Richmond Kickers,Richmond Kickers,27.0,United States,United States,right,133750.0,6.73,6.872045973396313,0.14204597339631242,138000,,165000,,2017-05-17,2022-11-30,2021-12-07,,Matt Bolduc,United States,27,Richmond Kickers,midfield - Right Midfield,https://www.transfermarkt.us/matt-bolduc/profil/spieler/430348
N. Pilato,"CM,AM",,Greenville Triumph,Greenville Triumph,25.0,United States,United States,right,133750.0,6.81,6.795198160086042,-0.014801839913957338,,,,,,,,,,,,,,
A. Morrell,"AM,W",,Greenville Triumph,Greenville Triumph,27.0,United States,United States,right,133750.0,6.81,6.850198359939787,0.04019835993978749,,,,,,,,,,,,,,
D. Bedoya,AM,,Tucson,Tucson,27.0,Colombia,Colombia,right,133750.0,6.91,7.022210817622867,0.11221081762286644,138000,,138000,,2021-03-02,2022-11-30,2022-02-22,DV7 Management,Daniel Bedoya,Colombia,27 (28),FC Tucson,midfield - Attacking Midfield,https://www.transfermarkt.us/daniel-bedoya/profil/spieler/369848
S. Miscic,"AM,W",,Philadelphia Union II,North Carolina FC,18.0,United States,United States,,133750.0,6.76,6.817390204996221,0.057390204996221605,138000,,138000,,2022-03-28,2022-12-31,,PROSPORT Management,Selmir Miscic,United States-Bosnia-Herzegovina,18 (19),North Carolina FC,midfield - Attacking Midfield,https://www.transfermarkt.us/selmir-miscic/profil/spieler/628251
