Player,Wy_Position,Wy_Contract expires,Wy_Team,Wy_Team within selected timeframe,Wy_Age,Wy_Birth country,Wy_Passport country,Wy_Foot,Wy_Market value,Wy_Rating,Wy_Rating_predict,Wy_Rating_diff,TM_Salary,TM_Salary Date,TM_Highest Market Value,TM_Date of Highest Value,TM_Joined Date,TM_Contract Until,TM_Date of Last Contract Extension,TM_Player Agent,TM_Player Name,TM_Nat.,TM_Age,TM_Club,TM_Position Detail,TM_player_href
N. Burgess,CB,,Dallas,North Texas,24.0,United States,United States,right,642000.0,7.45,6.895102791253144,-0.5548972087468558,,,,,,,,,,,,,,
J. Bell,CB,,New England,New England II,24.0,United States,United States,,428000.0,6.83,6.90019140030706,0.07019140030705984,,,,,,,,,,,,,,
L. Singh,CB,2025-12-31,Toronto,Toronto II,20.0,Canada,"Canada, Trinidad and Tobago",right,214000.0,6.85,6.902153609698973,0.052153609698973646,220000,,220000,,2022-03-03,,,ICM Stellar Sports,Luke Singh,Trinidad and Tobago-Canada,21,Toronto FC II,Defender - Centre-Back,https://www.transfermarkt.us/luke-singh/profil/spieler/628769
B. Fricke,CB,2021-11-30,Greenville Triumph,Greenville Triumph,29.0,United States,United States,,214000.0,6.94,6.857135052684067,-0.08286494731593308,220000,,220000,,2019-12-03,2022-11-30,2022-01-12,Bridges Sports Management,Brandon Fricke,United States,29 (30),Greenville Triumph SC,Defender - Centre-Back,https://www.transfermarkt.us/brandon-fricke/profil/spieler/226628
E. Leonard,CB,,Forward Madison,Forward Madison,26.0,United States,United States,,214000.0,6.8,6.912072007547213,0.11207200754721303,,,,,,,,,,,,,,
J. Dunn-Johnson,CB,2021-11-30,Toronto II,Toronto II,21.0,Canada,"Canada, Jamaica",right,187250.0,6.68,6.873209906029447,0.19320990602944743,,,,,,,,,,,,,,
C. Verfurth,CB,2021-11-30,New England,New England II,25.0,United States,United States,right,160500.0,6.95,6.888436489301865,-0.06156351069813493,,,,,,,,,,,,,,
E. Lee,CB,,Greenville Triumph,Greenville Triumph,28.0,United States,United States,right,160500.0,6.9,6.840670210798209,-0.059329789201790994,,,,,,,,,,,,,,
J. Crisler,CB,,Richmond Kickers,Richmond Kickers,27.0,United States,United States,,160500.0,6.88,6.889170613963154,0.009170613963154217,,,,,,,,,,,,,,
D. Barnathan,CB,,Tucson,Tucson,23.0,United States,United States,right,160500.0,6.68,6.903182732473299,0.22318273247329934,,,,,,,,,,,,,,
D. Knutson,CB,2021-11-30,Union Omaha,Union Omaha,24.0,United States,United States,,160500.0,7.05,6.8286655917696235,-0.2213344082303763,165000,,165000,,2020-01-14,2022-11-30,2021-12-21,,Daltyn Knutson,United States,24 (25),Union Omaha,Defender - Centre-Back,https://www.transfermarkt.us/daltyn-knutson/profil/spieler/636582
A. Mabika,CB,,Inter Miami,Fort Lauderdale,23.0,United States,United States,,160500.0,7.01,6.899398099766563,-0.11060190023343708,165000,,165000,,2022-01-13,2023-12-31,2022-01-13,,Aimé Mabika,Zambia,23,Inter Miami CF II,Defender - Centre-Back,https://www.transfermarkt.us/aime-mabika/profil/spieler/637490
A. Mabika,CB,,Inter Miami,Fort Lauderdale,23.0,United States,United States,,160500.0,7.01,6.899398099766563,-0.11060190023343708,165000,,165000,,2022-01-13,2023-12-31,2022-01-13,,Aimé Mabika,Zambia,23,Inter Miami CF II,Defender - Centre-Back,https://www.transfermarkt.us/aime-mabika/profil/spieler/637490
A. Mabika,CB,,Inter Miami,Fort Lauderdale,23.0,United States,United States,,160500.0,7.01,6.899398099766563,-0.11060190023343708,165000,,165000,,2022-01-13,2023-12-31,2022-01-13,,Aimé Mabika,Zambia,23,Inter Miami CF II,Defender - Centre-Back,https://www.transfermarkt.us/aime-mabika/profil/spieler/637490
K. Fox,CB,,Tucson,Tucson,26.0,United States,United States,,133750.0,6.74,6.896701844693209,0.1567018446932087,,,,,,,,,,,,,,
J. Crull,"FB,CB",,Union Omaha,Union Omaha,24.0,United States,United States,,133750.0,6.71,6.770151010975845,0.06015101097584541,,,,,,,,,,,,,,
T. Maples,CB,,Toronto II,Toronto II,23.0,United States,United States,,133750.0,6.94,6.9005911260035955,-0.039408873996404914,138000,,138000,,2022-02-19,2022-11-30,,,Talen Maples,United States,22 (23),Toronto FC II,Defender - Centre-Back,https://www.transfermarkt.us/talen-maples/profil/spieler/636492
M. Flick,"FB,CB",,North Carolina FC,North Carolina FC,27.0,United States,United States,,133750.0,6.83,6.9552042426884215,0.12520424268842145,138000,,138000,,2021-04-15,2022-11-30,2021-11-24,,Max Flick,United States,27,North Carolina FC,Defender - Centre-Back,https://www.transfermarkt.us/max-flick/profil/spieler/884329
J. Phelps,"CB,CF",,Tormenta,Tormenta,28.0,Australia,Australia,,133750.0,6.84,6.774977560949798,-0.06502243905020144,138000,,193000,,2018-09-11,2023-11-30,2021-12-08,,Joshua Phelps,Australia,28 (29),South Georgia Tormenta FC,Defender - Centre-Back,https://www.transfermarkt.us/joshua-phelps/profil/spieler/585726
J. Phelps,"CB,CF",,Tormenta,Tormenta,28.0,Australia,Australia,,133750.0,6.84,6.774977560949798,-0.06502243905020144,138000,,193000,,2018-09-11,2023-11-30,2021-12-08,,Joshua Phelps,Australia,29,South Georgia Tormenta FC,Defender - Centre-Back,https://www.transfermarkt.us/joshua-phelps/profil/spieler/585726
J. Phelps,"CB,CF",,Tormenta,Tormenta,28.0,Australia,Australia,,133750.0,6.84,6.774977560949798,-0.06502243905020144,138000,,193000,,2018-09-11,2023-11-30,2021-12-08,,Joshua Phelps,Australia,29,South Georgia Tormenta FC,Defender - Centre-Back,https://www.transfermarkt.us/joshua-phelps/profil/spieler/585726
J. Phelps,"CB,CF",,Tormenta,Tormenta,28.0,Australia,Australia,,133750.0,6.84,6.774977560949798,-0.06502243905020144,138000,,193000,,2018-09-11,2023-11-30,2021-12-08,,Joshua Phelps,Australia,29,South Georgia Tormenta FC,Defender - Centre-Back,https://www.transfermarkt.us/joshua-phelps/profil/spieler/585726
S. Biek,CB,2023-06-30,Horn,Tucson,24.0,Germany,Germany,both,133750.0,6.73,6.885061045821054,0.1550610458210535,,,,,,,,,,,,,,
E. Hardin,CB,,Inter Miami II,Fort Lauderdale,19.0,United States,United States,,133750.0,6.7,6.952270843529817,0.2522708435298169,,,,,,,,,,,,,,
L. Eckenrode,CB,2021-11-30,Tormenta,Tormenta,26.0,United States,United States,right,107000.0,6.89,6.893837901371787,0.003837901371787744,110000,,110000,,2018-12-11,2022-11-30,2022-02-16,Ascension Athletes,Lars Eckenrode,United States-Germany,26 (27),South Georgia Tormenta FC,Defender - Centre-Back,https://www.transfermarkt.us/lars-eckenrode/profil/spieler/495565
L. Rodríguez,CB,,,Tormenta,26.0,Colombia,Colombia,right,107000.0,6.63,6.873584064042372,0.24358406404237254,,,,,,,,,,,,,,
D. Navarro,CB,,Chattanooga Red Wolves,Chattanooga Red Wolves,30.0,United States,"United States, Brazil",right,107000.0,6.81,6.873984945920925,0.06398494592092518,,,,,,,,,,,,,,
Alisson,"CB,CM",,North Texas,North Texas,22.0,Brazil,Brazil,,107000.0,6.61,6.880413627278695,0.27041362727869434,,,,,,,,,,,,,,
N. Higgins,CB,,Toronto II,Toronto II,23.0,United States,United States,,107000.0,6.51,6.929381192727951,0.4193811927279514,,,,,,,,,,,,,,
S. Capozucchi,"FB,CB",,Chattanooga Red Wolves,Chattanooga Red Wolves,25.0,United States,"United States, Italy",,107000.0,6.6,6.7808955361320615,0.18089553613206188,,,,,,,,,,,,,,
M. Mbaye,CB,,North Carolina FC,North Carolina FC,25.0,Senegal,Senegal,,107000.0,6.74,6.95776092778981,0.2177609277898096,110000,,110000,,2021-12-01,,,,Malick Mbaye,Senegal,24 (25),North Carolina FC,Defender - Centre-Back,https://www.transfermarkt.us/malick-mbaye/profil/spieler/735794
M. Mbaye,CB,,North Carolina FC,North Carolina FC,25.0,Senegal,Senegal,,107000.0,6.74,6.95776092778981,0.2177609277898096,110000,,110000,,2021-12-01,,,,Malick Mbaye,Senegal,25,North Carolina FC,Defender - Centre-Back,https://www.transfermarkt.us/malick-mbaye/profil/spieler/735794
M. Mbaye,CB,,North Carolina FC,North Carolina FC,25.0,Senegal,Senegal,,107000.0,6.74,6.95776092778981,0.2177609277898096,110000,,110000,,2021-12-01,,,,Malick Mbaye,Senegal,25,North Carolina FC,Defender - Centre-Back,https://www.transfermarkt.us/malick-mbaye/profil/spieler/735794
M. Mbaye,CB,,North Carolina FC,North Carolina FC,25.0,Senegal,Senegal,,107000.0,6.74,6.95776092778981,0.2177609277898096,110000,,110000,,2021-12-01,,,,Malick Mbaye,Senegal,25,North Carolina FC,Defender - Centre-Back,https://www.transfermarkt.us/malick-mbaye/profil/spieler/735794
B. Fischer,CB,,North Carolina FC,North Carolina FC,17.0,United States,United States,right,107000.0,6.78,6.9670954141675665,0.18709541416756625,,,,,,,,,,,,,,
C. Thorn,"FB,CB",,Tormenta,Tormenta,26.0,United States,United States,,107000.0,6.8,6.885429152375231,0.08542915237523108,110000,,110000,,2020-08-27,2022-11-30,2021-12-01,STAG Management,Curtis Thorn,England,26,South Georgia Tormenta FC,Defender - Right-Back,https://www.transfermarkt.us/curtis-thorn/profil/spieler/805910
I. Osumanu,CB,,Union Omaha,Union Omaha,25.0,Ghana,Ghana,,107000.0,6.88,6.821016718846575,-0.05898328115342455,,,,,,,,,,,,,,
B. Malone,CB,2021-11-30,Union Omaha,Union Omaha,20.0,United States,United States,right,107000.0,6.75,6.799236650589527,0.049236650589526754,,,,,,,,,,,,,,
