Player,Wy_Position,Wy_Contract expires,Wy_Team,Wy_Team within selected timeframe,Wy_Age,Wy_Birth country,Wy_Passport country,Wy_Foot,Wy_Market value,Wy_Rating,Wy_Rating_predict,Wy_Rating_diff,TM_Salary,TM_Salary Date,TM_Highest Market Value,TM_Date of Highest Value,TM_Joined Date,TM_Contract Until,TM_Date of Last Contract Extension,TM_Player Agent,TM_Player Name,TM_Nat.,TM_Age,TM_Club,TM_Position Detail,TM_player_href
J. Marshall-Rutty,"W,CF",,Toronto,Toronto II,17.0,Canada,Canada,,1605000.0,6.97,6.813305206339276,-0.1566947936607237,3.30m,,3.30m,,2020-01-22,2022-12-31,,Agent is known - Player under 18,Jahkeele Marshall-Rutty,Canada-Jamaica,17,Toronto FC II,attack - Right Winger,https://www.transfermarkt.us/jahkeele-marshall-rutty/profil/spieler/640852
J. Nelson,"W,CF",2021-11-30,Toronto,Toronto II,18.0,Canada,"Canada, Jamaica",right,963000.0,7.49,6.969365887772784,-0.5206341122272162,2.75m,,2.75m,,2020-01-23,2022-12-31,,ATG Sports,Jayden Nelson,Canada-Jamaica,18 (19),Toronto FC II,attack - Left Winger,https://www.transfermarkt.us/jayden-nelson/profil/spieler/635445
E. Gallardo,"W,CF",,Toronto,Toronto II,25.0,Venezuela,Venezuela,right,535000.0,6.8,6.970649661562212,0.17064966156221217,,,,,,,,,,,,,,
F. Vargas,CF,,Deportivo Lara U20,North Texas,22.0,Venezuela,Venezuela,right,428000.0,6.93,6.840977106543697,-0.08902289345630265,440000,,440000,,2017-07-01,,,TSM833 & Club22,Freddy Vargas,Venezuela,22 (23),North Texas SC,attack - Left Winger,https://www.transfermarkt.us/freddy-vargas/profil/spieler/494437
J. Perruzza,CF,,Toronto,Toronto II,20.0,Canada,"Canada, Italy",,267500.0,6.55,6.5571510170651495,0.007151017065149645,,,,,,,,,,,,,,
E. Conway,CF,,Union Omaha,Union Omaha,24.0,United States,United States,,240750.0,7.29,7.093718650947008,-0.19628134905299177,248000,,248000,,2022-01-06,2022-11-30,,FSG USA,Evan Conway,United States,23 (24),Union Omaha,attack - Centre-Forward,https://www.transfermarkt.us/evan-conway/profil/spieler/737153
G. Hurst,CF,2021-11-30,Union Omaha,Union Omaha,24.0,Scotland,Scotland,right,240750.0,7.03,6.959513979374595,-0.07048602062540521,248000,,248000,,2022-01-17,2023-11-30,,,Greg Hurst,Scotland,24 (25),Union Omaha,attack - Centre-Forward,https://www.transfermarkt.us/greg-hurst/profil/spieler/365032
G. Hurst,CF,2021-11-30,Union Omaha,Union Omaha,24.0,Scotland,Scotland,right,240750.0,7.03,6.959513979374595,-0.07048602062540521,248000,,248000,,2022-01-17,2023-11-30,,,Greg Hurst,Scotland,25,Union Omaha,attack - Centre-Forward,https://www.transfermarkt.us/greg-hurst/profil/spieler/365032
G. Hurst,CF,2021-11-30,Union Omaha,Union Omaha,24.0,Scotland,Scotland,right,240750.0,7.03,6.959513979374595,-0.07048602062540521,248000,,248000,,2022-01-17,2023-11-30,,,Greg Hurst,Scotland,25,Union Omaha,attack - Centre-Forward,https://www.transfermarkt.us/greg-hurst/profil/spieler/365032
G. Hurst,CF,2021-11-30,Union Omaha,Union Omaha,24.0,Scotland,Scotland,right,240750.0,7.03,6.959513979374595,-0.07048602062540521,248000,,248000,,2022-01-17,2023-11-30,,,Greg Hurst,Scotland,25,Union Omaha,attack - Centre-Forward,https://www.transfermarkt.us/greg-hurst/profil/spieler/365032
G. Rayo,"W,CF",,North Texas,North Texas,20.0,United States,United States,,214000.0,6.91,7.178974927557595,0.2689749275575952,220000,,220000,,2022-03-15,2022-11-30,,Relatives,Gibran Rayo,United States-Mexico,20,North Texas SC,attack - Left Winger,https://www.transfermarkt.us/gibran-rayo/profil/spieler/666795
E. Kizza,CF,,New England,New England II,22.0,Uganda,Uganda,,214000.0,6.93,6.813225308828368,-0.11677469117163142,220000,,220000,,2022-03-30,2022-11-30,,ICM Stellar Sports,Edward Kizza,Uganda,22 (23),New England Revolution II,attack - Centre-Forward,https://www.transfermarkt.us/edward-kizza/profil/spieler/857412
