Player,Wy_Position,Wy_Contract expires,Wy_Team,Wy_Team within selected timeframe,Wy_Age,Wy_Birth country,Wy_Passport country,Wy_Foot,Wy_Market value,Wy_Rating,Wy_Rating_predict,Wy_Rating_diff,TM_Salary,TM_Salary Date,TM_Highest Market Value,TM_Date of Highest Value,TM_Joined Date,TM_Contract Until,TM_Date of Last Contract Extension,TM_Player Agent,TM_Player Name,TM_Nat.,TM_Age,TM_Club,TM_Position Detail,TM_player_href
L. Caicedo,CM,,New England II,New England II,25.0,Colombia,Colombia,right,802500.0,7.25,6.786656803303772,-0.46334319669622825,,,,,,,,,,,,,,
Maciel,CM,,New England,New England II,21.0,Brazil,Brazil,,642000.0,6.85,6.918905892163298,0.06890589216329879,,,,,,,,,,,,,,
N. Okello,CM,,Toronto,Toronto II,21.0,Canada,Canada,right,588500.0,6.87,6.757508787712238,-0.11249121228776193,605000,,605000,,2019-01-22,2022-12-31,2021-12-01,YMU Group,Noble Okello,Canada-Uganda,21,Toronto FC II,midfield - Defensive Midfield,https://www.transfermarkt.us/noble-okello/profil/spieler/544025
R. Priso,CM,2021-11-30,Toronto,Toronto II,19.0,Canada,Canada,left,535000.0,6.53,6.729552958430544,0.19955295843054355,,,,,,,,,,,,,,
E. Cerrillo,CM,,Dallas,North Texas,21.0,United States,United States,right,535000.0,7.9,6.861548141836905,-1.0384518581630955,,,,,,,,,,,,,,
C. Dennis,"CM,AM",,Tucson,Tucson,26.0,United States,United States,,240750.0,7.23,7.097253445165948,-0.1327465548340525,248000,,248000,,2022-01-19,2022-11-30,,STAG Management,Charlie Dennis,England,26,FC Tucson,midfield - Central Midfield,https://www.transfermarkt.us/charlie-dennis/profil/spieler/563079
J. Rozhansky,CM,,New England II,New England II,25.0,United States,"United States, Israel",right,214000.0,7.0,6.944263192540555,-0.05573680745944465,,,,,,,,,,,,,,
A. Molloy,CM,,Memphis 901,Forward Madison,25.0,Republic of Ireland,Republic of Ireland,,214000.0,7.47,7.00463654761905,-0.46536345238094956,220000,,220000,,2022-01-11,2022-11-30,,Topnotch Management,Aaron Molloy,Ireland,24 (25),Forward Madison FC,midfield,https://www.transfermarkt.us/aaron-molloy/profil/spieler/428901
J. Almaguer,CM,2021-11-30,North Texas,North Texas,21.0,United States,United States,,187250.0,6.84,6.836861276485401,-0.0031387235145992065,193000,,193000,,2022-02-04,2022-11-30,,PFC,Jorge Almaguer,United States,21,North Texas SC,midfield - Central Midfield,https://www.transfermarkt.us/jorge-almaguer/profil/spieler/663311
V. Falck,CM,,Richmond Kickers,Richmond Kickers,24.0,Sweden,Sweden,,187250.0,6.75,6.859822048693461,0.10982204869346113,193000,,193000,,2022-02-13,2022-11-30,,Path2Pro,Victor Falck,Sweden,24,Richmond Kickers,midfield - Defensive Midfield,https://www.transfermarkt.us/victor-falck/profil/spieler/636293
V. Falck,CM,,Richmond Kickers,Richmond Kickers,24.0,Sweden,Sweden,,187250.0,6.75,6.859822048693461,0.10982204869346113,193000,,193000,,2022-02-13,2022-11-30,,Path2Pro,Victor Falck,Sweden,24,Richmond Kickers,midfield - Defensive Midfield,https://www.transfermarkt.us/victor-falck/profil/spieler/636293
V. Falck,CM,,Richmond Kickers,Richmond Kickers,24.0,Sweden,Sweden,,187250.0,6.75,6.859822048693461,0.10982204869346113,193000,,193000,,2022-02-13,2022-11-30,,Path2Pro,Victor Falck,Sweden,24,Richmond Kickers,midfield - Defensive Midfield,https://www.transfermarkt.us/victor-falck/profil/spieler/636293
A. Walker,CM,2021-11-30,Greenville Triumph,Greenville Triumph,31.0,United States,United States,,187250.0,7.08,6.97007731658692,-0.10992268341307998,193000,,193000,,2019-02-05,2022-11-30,2022-01-11,,Aaron Walker,United States,31,Greenville Triumph SC,midfield - Central Midfield,https://www.transfermarkt.us/aaron-walker/profil/spieler/373782
C. Doyle,"CM,W",,Union Omaha,Union Omaha,30.0,United States,United States,right,187250.0,6.86,6.908683863981896,0.04868386398189539,193000,,495000,,2021-01-22,2022-11-30,2021-12-21,,Conor Doyle,Ireland,30,Union Omaha,midfield - Central Midfield,https://www.transfermarkt.us/conor-doyle/profil/spieler/158233
C. Doyle,"CM,W",,Union Omaha,Union Omaha,30.0,United States,United States,right,187250.0,6.86,6.908683863981896,0.04868386398189539,193000,,495000,,2021-01-22,2022-11-30,2021-12-21,,Conor Doyle,Ireland,30,Union Omaha,midfield - Central Midfield,https://www.transfermarkt.us/conor-doyle/profil/spieler/158233
C. Doyle,"CM,W",,Union Omaha,Union Omaha,30.0,United States,United States,right,187250.0,6.86,6.908683863981896,0.04868386398189539,193000,,495000,,2021-01-22,2022-11-30,2021-12-21,,Conor Doyle,Ireland,30,Union Omaha,midfield - Central Midfield,https://www.transfermarkt.us/conor-doyle/profil/spieler/158233
D. Campbell,CM,2021-11-30,Toronto,Toronto II,22.0,Canada,"Canada, Jamaica",right,160500.0,6.81,6.694726952856667,-0.11527304714333297,,,,,,,,,,,,,,
D. Waldeck,"FB,CM",2021-11-30,North Texas,North Texas,23.0,United States,United States,,160500.0,6.88,7.003011045920332,0.1230110459203324,,,,,,,,,,,,,,
