Player,Wy_Position,Wy_Contract expires,Wy_Team,Wy_Team within selected timeframe,Wy_Age,Wy_Birth country,Wy_Passport country,Wy_Foot,Wy_Market value,Wy_Rating,Wy_Rating_predict,Wy_Rating_diff,TM_Salary,TM_Salary Date,TM_Highest Market Value,TM_Date of Highest Value,TM_Joined Date,TM_Contract Until,TM_Date of Last Contract Extension,TM_Player Agent,TM_Player Name,TM_Nat.,TM_Age,TM_Club,TM_Position Detail,TM_player_href
A. Vaikla,GK,2021-11-30,Toronto II,Toronto II,24.0,Canada,"Canada, Estonia",right,160500.0,7.08,6.9545455952380895,-0.1254544047619106,165000,,220000,,2022-03-24,,,DKSM GROUP,Andreas Vaikla,Estonia,25,Toronto FC II,Goalkeeper,https://www.transfermarkt.us/andreas-vaikla/profil/spieler/250391
A. Vaikla,GK,2021-11-30,Toronto II,Toronto II,24.0,Canada,"Canada, Estonia",right,160500.0,7.08,6.9545455952380895,-0.1254544047619106,165000,,220000,,2022-03-24,,,DKSM GROUP,Andreas Vaikla,Estonia,25,Toronto FC II,Goalkeeper,https://www.transfermarkt.us/andreas-vaikla/profil/spieler/250391
A. Vaikla,GK,2021-11-30,Toronto II,Toronto II,24.0,Canada,"Canada, Estonia",right,160500.0,7.08,6.9545455952380895,-0.1254544047619106,165000,,220000,,2022-03-24,,,DKSM GROUP,Andreas Vaikla,Estonia,25,Toronto FC II,Goalkeeper,https://www.transfermarkt.us/andreas-vaikla/profil/spieler/250391
J. McGuire,GK,2021-11-30,North Carolina FC,North Carolina FC,27.0,United States,United States,right,160500.0,6.97,6.813181785714285,-0.15681821428571485,,,,,,,,,,,,,,
P. Jara,GK,2023-11-30,Tormenta,Tormenta,27.0,Chile,Chile,right,160500.0,6.69,6.700620952380953,0.010620952380952176,165000,,193000,,2018-11-27,2023-11-30,2020-11-17,,Pablo Jara,Chile,28,South Georgia Tormenta FC,Goalkeeper,https://www.transfermarkt.us/pablo-jara/profil/spieler/585724
P. Jara,GK,2023-11-30,Tormenta,Tormenta,27.0,Chile,Chile,right,160500.0,6.69,6.700620952380953,0.010620952380952176,165000,,193000,,2018-11-27,2023-11-30,2020-11-17,,Pablo Jara,Chile,28,South Georgia Tormenta FC,Goalkeeper,https://www.transfermarkt.us/pablo-jara/profil/spieler/585724
P. Jara,GK,2023-11-30,Tormenta,Tormenta,27.0,Chile,Chile,right,160500.0,6.69,6.700620952380953,0.010620952380952176,165000,,193000,,2018-11-27,2023-11-30,2020-11-17,,Pablo Jara,Chile,28,South Georgia Tormenta FC,Goalkeeper,https://www.transfermarkt.us/pablo-jara/profil/spieler/585724
R. Sánchez,GK,,,North Texas,27.0,United States,"United States, Mexico",right,160500.0,6.84,6.757332380952376,-0.08266761904762365,,,,,,,,,,,,,,
R. Nuhu,GK,,Union Omaha,Union Omaha,25.0,Ghana,"Ghana, United States",right,160500.0,6.89,6.872229761904757,-0.017770238095242696,165000,,165000,,2020-02-16,2022-11-30,2022-01-14,Remington Ellis Management,Rashid Nuhu,Ghana,26,Union Omaha,Goalkeeper,https://www.transfermarkt.us/rashid-nuhu/profil/spieler/674379
R. Nuhu,GK,,Union Omaha,Union Omaha,25.0,Ghana,"Ghana, United States",right,160500.0,6.89,6.872229761904757,-0.017770238095242696,165000,,165000,,2020-02-16,2022-11-30,2022-01-14,Remington Ellis Management,Rashid Nuhu,Ghana,26,Union Omaha,Goalkeeper,https://www.transfermarkt.us/rashid-nuhu/profil/spieler/674379
