Player,Wy_Position,Wy_Contract expires,Wy_Team,Wy_Team within selected timeframe,Wy_Age,Wy_Birth country,Wy_Passport country,Wy_Foot,Wy_Market value,Wy_Rating,Wy_Rating_predict,Wy_Rating_diff,TM_Salary,TM_Salary Date,TM_Highest Market Value,TM_Date of Highest Value,TM_Joined Date,TM_Contract Until,TM_Date of Last Contract Extension,TM_Player Agent,TM_Player Name,TM_Nat.,TM_Age,TM_Club,TM_Position Detail,TM_player_href
J. Shaffelburg,"AM,W",,Toronto,Toronto II,22.0,Canada,Canada,left,2140000.0,6.8,6.589629184807166,-0.2103708151928334,,,,,,,,,,,,,,
J. Marshall-Rutty,"W,CF",,Toronto,Toronto II,17.0,Canada,Canada,,1605000.0,6.97,6.766574525739555,-0.20342547426044444,3.30m,,3.30m,,2020-01-22,2022-12-31,,Agent is known - Player under 18,Jahkeele Marshall-Rutty,Canada-Jamaica,17,Toronto FC II,attack - Right Winger,https://www.transfermarkt.us/jahkeele-marshall-rutty/profil/spieler/640852
J. Nelson,"W,CF",2021-11-30,Toronto,Toronto II,18.0,Canada,"Canada, Jamaica",right,963000.0,7.49,6.866568514576213,-0.6234314854237875,2.75m,,2.75m,,2020-01-23,2022-12-31,,ATG Sports,Jayden Nelson,Canada-Jamaica,18 (19),Toronto FC II,attack - Left Winger,https://www.transfermarkt.us/jayden-nelson/profil/spieler/635445
E. Gallardo,"W,CF",,Toronto,Toronto II,25.0,Venezuela,Venezuela,right,535000.0,6.8,6.91699935145787,0.11699935145786977,,,,,,,,,,,,,,
E. Munjoma,"FB,W",2022-12-31,North Texas,North Texas,23.0,United States,United States,right,428000.0,7.0,6.786015605382711,-0.21398439461728902,440000,,440000,,2020-01-13,2022-12-31,,Promoesport,Eddie Munjoma,United States,23,North Texas SC,Defender - Right-Back,https://www.transfermarkt.us/eddie-munjoma/profil/spieler/636468
M. Micaletto,W,,Tormenta,Tormenta,25.0,United States,United States,,240750.0,7.29,7.0597295267415925,-0.23027047325840755,248000,,248000,,2022-02-25,2022-11-30,,NOVERA Sports,Marco Micaletto,Italy-England,25 (26),South Georgia Tormenta FC,midfield - Attacking Midfield,https://www.transfermarkt.us/marco-micaletto/profil/spieler/511763
M. Micaletto,W,,Tormenta,Tormenta,25.0,United States,United States,,240750.0,7.29,7.0597295267415925,-0.23027047325840755,248000,,248000,,2022-02-25,2022-11-30,,NOVERA Sports,Marco Micaletto,Italy,26,South Georgia Tormenta FC,midfield - Attacking Midfield,https://www.transfermarkt.us/marco-micaletto/profil/spieler/511763
M. Micaletto,W,,Tormenta,Tormenta,25.0,United States,United States,,240750.0,7.29,7.0597295267415925,-0.23027047325840755,248000,,248000,,2022-02-25,2022-11-30,,NOVERA Sports,Marco Micaletto,Italy,26,South Georgia Tormenta FC,midfield - Attacking Midfield,https://www.transfermarkt.us/marco-micaletto/profil/spieler/511763
M. Micaletto,W,,Tormenta,Tormenta,25.0,United States,United States,,240750.0,7.29,7.0597295267415925,-0.23027047325840755,248000,,248000,,2022-02-25,2022-11-30,,NOVERA Sports,Marco Micaletto,Italy,26,South Georgia Tormenta FC,midfield - Attacking Midfield,https://www.transfermarkt.us/marco-micaletto/profil/spieler/511763
D. Rivera,"AM,W",2021-11-30,New England II,New England II,18.0,United States,United States,right,214000.0,7.12,7.008623291075208,-0.11137670892479168,220000,,220000,,2019-11-08,2022-12-31,,,Damián Rivera,United States-Guatemala,18 (19),New England Revolution II,midfield - Left Midfield,https://www.transfermarkt.us/damian-rivera/profil/spieler/722649
G. Rayo,"W,CF",,North Texas,North Texas,20.0,United States,United States,,214000.0,6.91,6.988303355144755,0.0783033551447545,220000,,220000,,2022-03-15,2022-11-30,,Relatives,Gibran Rayo,United States-Mexico,20,North Texas SC,attack - Left Winger,https://www.transfermarkt.us/gibran-rayo/profil/spieler/666795
J. Rennicks,"W,CF",2021-11-30,New England II,New England II,22.0,United States,United States,right,187250.0,6.8,6.80906984430067,0.009069844300670482,193000,,193000,,2019-01-18,2022-12-31,2021-12-03,Wasserman,Justin Rennicks,United States,22 (23),New England Revolution II,attack - Centre-Forward,https://www.transfermarkt.us/justin-rennicks/profil/spieler/368907
C. Presley,"FB,W",,New England II,New England II,23.0,United States,United States,right,187250.0,6.71,6.789147934636427,0.07914793463642678,193000,,220000,,2020-01-07,2022-11-30,2020-11-30,YMU Group,Connor Presley,United States,23,New England Revolution II,midfield - Right Midfield,https://www.transfermarkt.us/connor-presley/profil/spieler/531470
A. Liadi,"W,CF",,Tormenta,Tormenta,23.0,United States,United States,,187250.0,6.98,6.97255984816096,-0.007440151839040787,193000,,193000,,2022-01-28,2022-11-30,,ICM Stellar Sports,Azaad Liadi,United States,23,South Georgia Tormenta FC,attack - Left Winger,https://www.transfermarkt.us/azaad-liadi/profil/spieler/744402
