,Position,Player,Wy_Position,Wy_Contract expires,Wy_Team,Wy_Team within selected timeframe,Wy_Age,Wy_Birth country,Wy_Passport country,Wy_Foot,Wy_Market value,TM_Salary,TM_Salary Date,TM_Highest Market Value,TM_Date of Highest Value,TM_Joined Date,TM_Contract Until,TM_Date of Last Contract Extension,TM_Player Agent,TM_Player Name,TM_Nat.,TM_Age,TM_Club,TM_Position Detail,TM_player_href
0,FB,J. Esparza,FB,2021-11-30,Chattanooga Red Wolves,Chattanooga Red Wolves,22.0,United States,"United States, Mexico",left,107000.0,,,,,,,,,,,,,,
1,FB,T. Polak,FB,,Greenville Triumph,Greenville Triumph,29.0,United States,United States,left,160500.0,,,,,,,,,,,,,,
2,FB,A. Knox,FB,,Tucson,Tucson,24.0,United States,United States,unknown,0.0,,,,,,,,,,,,,,
3,FB,N. Franke,FB,,Tucson,Tucson,26.0,United States,United States,right,160500.0,,,,,,,,,,,,,,
4,FB,C. Young,FB,,Fort Lauderdale,Fort Lauderdale,24.0,United States,United States,,107000.0,,,,,,,,,,,,,,
5,CB,A. Mabika,CB,,Inter Miami,Fort Lauderdale,23.0,United States,United States,,160500.0,165000,,165000,,2022-01-13,2023-12-31,2022-01-13,,Aimé Mabika,Zambia,23,Inter Miami CF II,Defender - Centre-Back,https://www.transfermarkt.us/aime-mabika/profil/spieler/637490
6,CB,A. Mabika,CB,,Inter Miami,Fort Lauderdale,23.0,United States,United States,,160500.0,165000,,165000,,2022-01-13,2023-12-31,2022-01-13,,Aimé Mabika,Zambia,23,Inter Miami CF II,Defender - Centre-Back,https://www.transfermarkt.us/aime-mabika/profil/spieler/637490
7,CB,A. Mabika,CB,,Inter Miami,Fort Lauderdale,23.0,United States,United States,,160500.0,165000,,165000,,2022-01-13,2023-12-31,2022-01-13,,Aimé Mabika,Zambia,23,Inter Miami CF II,Defender - Centre-Back,https://www.transfermarkt.us/aime-mabika/profil/spieler/637490
8,CB,C. Tobin,CB,,Forward Madison,Forward Madison,35.0,United States,United States,right,107000.0,110000,,330000,,2021-12-01,,,,Connor Tobin,United States,34 (35),Forward Madison FC,Defender - Centre-Back,https://www.transfermarkt.us/connor-tobin/profil/spieler/107888
9,CB,P. Cayet,CB,2021-11-30,New England,New England II,22.0,France,France,,107000.0,110000,,110000,,2021-04-28,2022-11-30,,,Pierre Cayet,France,22,New England Revolution II,Defender - Centre-Back,https://www.transfermarkt.us/pierre-cayet/profil/spieler/669359
10,CB,P. Cayet,CB,2021-11-30,New England,New England II,22.0,France,France,,107000.0,110000,,110000,,2021-04-28,2022-11-30,,,Pierre Cayet,France,22,New England Revolution II,Defender - Centre-Back,https://www.transfermarkt.us/pierre-cayet/profil/spieler/669359
