,Player,Wy_Position,Wy_Contract expires,Wy_Team,Wy_Team within selected timeframe,Wy_Age,Wy_Birth country,Wy_Passport country,Wy_Foot,Wy_Market value,Wy_Market_value_predict,Wy_Market_value_diff,TM_Salary,TM_Salary Date,TM_Highest Market Value,TM_Date of Highest Value,TM_Joined Date,TM_Contract Until,TM_Date of Last Contract Extension,TM_Player Agent,TM_Player Name,TM_Nat.,TM_Age,TM_Club,TM_Position Detail,TM_player_href
0,C. Smith,"FB,W",2023-12-31,North Texas,North Texas,17.0,United States,United States,,133750.0,1231468.8974983215,1097718.8974983215,,,,,,,,,,,,,,
1,N. Allen,FB,2024-12-31,Inter Miami,Fort Lauderdale,17.0,United States,United States,,133750.0,1223692.311054541,1089942.311054541,,,,,,,,,,,,,,
2,M. Flick,"FB,CB",,North Carolina FC,North Carolina FC,27.0,United States,United States,,133750.0,1010037.8660057707,876287.8660057707,138000.0,,138000.0,,2021-04-15,2022-11-30,2021-11-24,,Max Flick,United States,27.0,North Carolina FC,Defender - Centre-Back,https://www.transfermarkt.us/max-flick/profil/spieler/884329
3,C. Díaz,FB,,Forward Madison,Forward Madison,30.0,Mexico,Mexico,right,160500.0,748538.7754970952,588038.7754970952,,,,,,,,,,,,,,
4,S. Guediri,"FB,W",,Inter Miami,Fort Lauderdale,24.0,United States,United States,,160500.0,643571.3424870973,483071.34248709725,,,,,,,,,,,,,,
0,C. Thorn,"FB,CB",,Tormenta,Tormenta,26.0,United States,United States,,107000.0,1046205.9608928936,939205.9608928936,110000.0,,110000.0,,2020-08-27,2022-11-30,2021-12-01,STAG Management,Curtis Thorn,England,26.0,South Georgia Tormenta FC,Defender - Right-Back,https://www.transfermarkt.us/curtis-thorn/profil/spieler/805910
1,P. Cayet,CB,2021-11-30,New England,New England II,22.0,France,France,,107000.0,1001676.8089083422,894676.8089083422,110000.0,,110000.0,,2021-04-28,2022-11-30,,,Pierre Cayet,France,22.0,New England Revolution II,Defender - Centre-Back,https://www.transfermarkt.us/pierre-cayet/profil/spieler/669359
2,P. Cayet,CB,2021-11-30,New England,New England II,22.0,France,France,,107000.0,1001676.8089083422,894676.8089083422,110000.0,,110000.0,,2021-04-28,2022-11-30,,,Pierre Cayet,France,22.0,New England Revolution II,Defender - Centre-Back,https://www.transfermarkt.us/pierre-cayet/profil/spieler/669359
3,P. Cayet,CB,2021-11-30,New England,New England II,22.0,France,France,,107000.0,1001676.8089083422,894676.8089083422,110000.0,,110000.0,,2021-04-28,2022-11-30,,,Pierre Cayet,France,22.0,New England Revolution II,Defender - Centre-Back,https://www.transfermarkt.us/pierre-cayet/profil/spieler/669359
4,P. Cayet,CB,2021-11-30,New England,New England II,22.0,France,France,,107000.0,1001676.8089083422,894676.8089083422,110000.0,,110000.0,,2021-04-28,2022-11-30,,,Pierre Cayet,France,22.0,New England Revolution II,Defender - Centre-Back,https://www.transfermarkt.us/pierre-cayet/profil/spieler/669359
0,E. Cerrillo,CM,,Dallas,North Texas,21.0,United States,United States,right,535000.0,1067935.4296955494,532935.4296955494,,,,,,,,,,,,,,
1,P. Pearson,CM,,North Carolina FC,North Carolina FC,25.0,United States,United States,,80250.0,376014.1450916224,295764.1450916224,83000.0,,83000.0,,2022-01-27,2022-11-30,,FSG USA,Peter Pearson,United States,25 (26),North Carolina FC,midfield - Defensive Midfield,https://www.transfermarkt.us/peter-pearson/profil/spieler/644927
2,J. Altobelli,"CM,CF",,Toronto II,Toronto II,19.0,Canada,Canada,right,107000.0,386817.7207703984,279817.7207703984,110000.0,,110000.0,,2020-12-16,2022-11-30,,Felkrem,Julian Altobelli,Canada-Italy,18 (19),Toronto FC II,attack - Centre-Forward,https://www.transfermarkt.us/julian-altobelli/profil/spieler/718101
3,Michel,CM,,New England II,New England II,19.0,Brazil,Brazil,,107000.0,386493.0958384989,279493.0958384989,,,,,,,,,,,,,,
4,M. Hemmings,CM,2021-11-30,Greenville Triumph,Greenville Triumph,24.0,England,England,,107000.0,377980.8304970036,270980.8304970036,,,,,,,,,,,,,,
0,E. Azcona,"AM,W,CF",,Inter Miami,Fort Lauderdale,18.0,Dominican Republic,"Dominican Republic, United States",,107000.0,225689.56968800156,118689.56968800152,110000.0,,110000.0,,2021-01-26,2022-12-31,,,Edison Azcona,Dominican Republic,18,Inter Miami CF II,attack - Left Winger,https://www.transfermarkt.us/edison-azcona/profil/spieler/794699
1,E. Azcona,"AM,W,CF",,Inter Miami,Fort Lauderdale,18.0,Dominican Republic,"Dominican Republic, United States",,107000.0,225689.56968800156,118689.56968800152,110000.0,,110000.0,,2021-01-26,2022-12-31,,,Edison Azcona,Dominican Republic,18,Inter Miami CF II,attack - Left Winger,https://www.transfermarkt.us/edison-azcona/profil/spieler/794699
2,E. Azcona,"AM,W,CF",,Inter Miami,Fort Lauderdale,18.0,Dominican Republic,"Dominican Republic, United States",,107000.0,225689.56968800156,118689.56968800152,110000.0,,110000.0,,2021-01-26,2022-12-31,,,Edison Azcona,Dominican Republic,18,Inter Miami CF II,attack - Left Winger,https://www.transfermarkt.us/edison-azcona/profil/spieler/794699
3,E. Azcona,"AM,W,CF",,Inter Miami,Fort Lauderdale,18.0,Dominican Republic,"Dominican Republic, United States",,107000.0,225689.56968800156,118689.56968800152,110000.0,,110000.0,,2021-01-26,2022-12-31,,,Edison Azcona,Dominican Republic-United States,17 (18),Fort Lauderdale CF,attack - Left Winger,https://www.transfermarkt.us/edison-azcona/profil/spieler/794699
