Player,Wy_Position,Wy_Contract expires,Wy_Team,Wy_Team within selected timeframe,Wy_Age,Wy_Birth country,Wy_Passport country,Wy_Foot,Wy_Market value,Wy_Market_value_predict,Wy_Market_value_diff,TM_Salary,TM_Salary Date,TM_Highest Market Value,TM_Date of Highest Value,TM_Joined Date,TM_Contract Until,TM_Date of Last Contract Extension,TM_Player Agent,TM_Player Name,TM_Nat.,TM_Age,TM_Club,TM_Position Detail,TM_player_href
J. Shaffelburg,"AM,W",,Toronto,Toronto II,22.0,Canada,Canada,left,2140000.0,157208.3120783522,-1982791.687921648,,,,,,,,,,,,,,
C. Dennis,"CM,AM",,Tucson,Tucson,26.0,United States,United States,,240750.0,210964.98265581817,-29785.017344181833,248000,,248000,,2022-01-19,2022-11-30,,STAG Management,Charlie Dennis,England,26,FC Tucson,midfield - Central Midfield,https://www.transfermarkt.us/charlie-dennis/profil/spieler/563079
G. Acosta,AM,2021-11-30,Fort Lauderdale,Fort Lauderdale,21.0,United States,"United States, Colombia",right,214000.0,218081.14013090287,4081.1401309028734,220000,,220000,,2020-01-01,2022-12-31,2022-01-13,YMU Group,George Acosta,United States-Colombia,21 (22),Fort Lauderdale CF,midfield - Attacking Midfield,https://www.transfermarkt.us/george-acosta/profil/spieler/370975
D. Rivera,"AM,W",2021-11-30,New England II,New England II,18.0,United States,United States,right,214000.0,174923.7849813368,-39076.215018663206,220000,,220000,,2019-11-08,2022-12-31,,,Damián Rivera,United States-Guatemala,18 (19),New England Revolution II,midfield - Left Midfield,https://www.transfermarkt.us/damian-rivera/profil/spieler/722649
N. Buck,AM,,New England II,New England II,16.0,United States,United States,unknown,214000.0,205904.1128544665,-8095.887145533488,220000,,220000,,2022-01-18,2025-12-31,,Agent is known - Player under 18,Noel Buck,United States-England,16 (17),New England Revolution II,midfield - Central Midfield,https://www.transfermarkt.us/noel-buck/profil/spieler/882657
Nil Vinyals,AM,,Richmond Kickers,Richmond Kickers,25.0,Spain,Spain,,187250.0,160210.33931819416,-27039.660681805835,,,,,,,,,,,,,,
L. Arriaga,"CM,AM",,North Carolina FC,North Carolina FC,20.0,United States,United States,right,160500.0,178114.168833283,17614.16883328301,165000,,220000,,2021-03-11,2022-11-30,2021-12-01,,Luis Arriaga,United States,20 (21),North Carolina FC,midfield - Attacking Midfield,https://www.transfermarkt.us/luis-arriaga/profil/spieler/469856
Kazu,"FB,AM,W",,Coritiba U23,North Texas,21.0,Brazil,"Brazil, Japan",left,160500.0,217928.41725308084,57428.41725308084,165000,,165000,,2020-01-01,,2021-01-29,Under,Kazu,Brazil,21 (22),North Texas SC,Defender - Left-Back,https://www.transfermarkt.us/kazu/profil/spieler/428993
Kazu,"FB,AM,W",,Coritiba U23,North Texas,21.0,Brazil,"Brazil, Japan",left,160500.0,217928.41725308084,57428.41725308084,165000,,165000,,2020-01-01,,2021-01-29,Under,Kazu,Brazil,22,North Texas SC,Defender - Left-Back,https://www.transfermarkt.us/kazu/profil/spieler/428993
Kazu,"FB,AM,W",,Coritiba U23,North Texas,21.0,Brazil,"Brazil, Japan",left,160500.0,217928.41725308084,57428.41725308084,165000,,165000,,2020-01-01,,2021-01-29,Under,Kazu,Brazil,22,North Texas SC,Defender - Left-Back,https://www.transfermarkt.us/kazu/profil/spieler/428993
Kazu,"FB,AM,W",,Coritiba U23,North Texas,21.0,Brazil,"Brazil, Japan",left,160500.0,217928.41725308084,57428.41725308084,165000,,165000,,2020-01-01,,2021-01-29,Under,Kazu,Brazil,22,North Texas SC,Defender - Left-Back,https://www.transfermarkt.us/kazu/profil/spieler/428993
R. Ruiz,"AM,W,CF",,Chattanooga Red Wolves,Chattanooga Red Wolves,25.0,United States,United States,,160500.0,147465.31008242888,-13034.689917571115,165000,,165000,,2022-02-23,2022-11-30,,FSG USA,Ricky Ruiz,United States,24 (25),Chattanooga Red Wolves SC,midfield - Right Midfield,https://www.transfermarkt.us/ricky-ruiz/profil/spieler/758827
S. Adams,"AM,W",,Tucson,Tucson,23.0,United States,United States,,160500.0,166548.59345912357,6048.593459123571,165000,,165000,,2022-01-20,2022-11-30,,,Shak Adams,United States,23,FC Tucson,attack - Left Winger,https://www.transfermarkt.us/shak-adams/profil/spieler/763520
Rafael Mentzingen,"AM,W,CF",,Chattanooga Red Wolves,Chattanooga Red Wolves,25.0,Brazil,Brazil,,160500.0,125060.54327755967,-35439.45672244033,,,,,,,,,,,,,,
Nicolas Firmino,"AM,W",,Union Omaha,Union Omaha,20.0,Brazil,Brazil,,160500.0,222377.51734486342,61877.517344863416,,,,,,,,,,,,,,
L. McLean,"AM,CF",,Greenville Triumph,Greenville Triumph,25.0,Australia,Australia,,160500.0,155492.94418894456,-5007.055811055441,165000,,165000,,2021-12-17,2022-11-30,,First Team,Lachlan McLean,Australia,25 (26),Greenville Triumph SC,attack - Centre-Forward,https://www.transfermarkt.us/lachlan-mclean/profil/spieler/751149
B. Kamungo,"AM,W,CF",2022-11-30,North Texas,North Texas,19.0,Tanzania,Tanzania,unknown,160500.0,139015.534480821,-21484.465519179008,165000,,165000,,2021-03-25,2022-11-30,,D2PSports,Bernard Kamungo,Tanzania,19 (20),North Texas SC,attack - Right Winger,https://www.transfermarkt.us/bernard-kamungo/profil/spieler/876809
