Player,Wy_Position,Wy_Contract expires,Wy_Team,Wy_Team within selected timeframe,Wy_Age,Wy_Birth country,Wy_Passport country,Wy_Foot,Wy_Market value,Wy_Market_value_predict,Wy_Market_value_diff,TM_Salary,TM_Salary Date,TM_Highest Market Value,TM_Date of Highest Value,TM_Joined Date,TM_Contract Until,TM_Date of Last Contract Extension,TM_Player Agent,TM_Player Name,TM_Nat.,TM_Age,TM_Club,TM_Position Detail,TM_player_href
N. Burgess,CB,,Dallas,North Texas,24.0,United States,United States,right,642000.0,203765.16299166708,-438234.83700833295,,,,,,,,,,,,,,
J. Bell,CB,,New England,New England II,24.0,United States,United States,,428000.0,165055.33094778183,-262944.6690522182,,,,,,,,,,,,,,
L. Singh,CB,2025-12-31,Toronto,Toronto II,20.0,Canada,"Canada, Trinidad and Tobago",right,214000.0,128073.29697724976,-85926.70302275024,220000,,220000,,2022-03-03,,,ICM Stellar Sports,Luke Singh,Trinidad and Tobago-Canada,21,Toronto FC II,Defender - Centre-Back,https://www.transfermarkt.us/luke-singh/profil/spieler/628769
B. Fricke,CB,2021-11-30,Greenville Triumph,Greenville Triumph,29.0,United States,United States,,214000.0,941731.4367952481,727731.4367952481,220000,,220000,,2019-12-03,2022-11-30,2022-01-12,Bridges Sports Management,Brandon Fricke,United States,29 (30),Greenville Triumph SC,Defender - Centre-Back,https://www.transfermarkt.us/brandon-fricke/profil/spieler/226628
E. Leonard,CB,,Forward Madison,Forward Madison,26.0,United States,United States,,214000.0,924968.1006592012,710968.1006592012,,,,,,,,,,,,,,
J. Dunn-Johnson,CB,2021-11-30,Toronto II,Toronto II,21.0,Canada,"Canada, Jamaica",right,187250.0,93983.34753349554,-93266.65246650446,,,,,,,,,,,,,,
C. Verfurth,CB,2021-11-30,New England,New England II,25.0,United States,United States,right,160500.0,960218.9220255315,799718.9220255315,,,,,,,,,,,,,,
E. Lee,CB,,Greenville Triumph,Greenville Triumph,28.0,United States,United States,right,160500.0,893993.0890649419,733493.0890649419,,,,,,,,,,,,,,
J. Crisler,CB,,Richmond Kickers,Richmond Kickers,27.0,United States,United States,,160500.0,938867.0452349313,778367.0452349313,,,,,,,,,,,,,,
D. Barnathan,CB,,Tucson,Tucson,23.0,United States,United States,right,160500.0,881331.2234592116,720831.2234592116,,,,,,,,,,,,,,
D. Knutson,CB,2021-11-30,Union Omaha,Union Omaha,24.0,United States,United States,,160500.0,899180.7509388196,738680.7509388196,165000,,165000,,2020-01-14,2022-11-30,2021-12-21,,Daltyn Knutson,United States,24 (25),Union Omaha,Defender - Centre-Back,https://www.transfermarkt.us/daltyn-knutson/profil/spieler/636582
A. Mabika,CB,,Inter Miami,Fort Lauderdale,23.0,United States,United States,,160500.0,97166.63304897463,-63333.36695102537,165000,,165000,,2022-01-13,2023-12-31,2022-01-13,,Aimé Mabika,Zambia,23,Inter Miami CF II,Defender - Centre-Back,https://www.transfermarkt.us/aime-mabika/profil/spieler/637490
A. Mabika,CB,,Inter Miami,Fort Lauderdale,23.0,United States,United States,,160500.0,97166.63304897463,-63333.36695102537,165000,,165000,,2022-01-13,2023-12-31,2022-01-13,,Aimé Mabika,Zambia,23,Inter Miami CF II,Defender - Centre-Back,https://www.transfermarkt.us/aime-mabika/profil/spieler/637490
A. Mabika,CB,,Inter Miami,Fort Lauderdale,23.0,United States,United States,,160500.0,97166.63304897463,-63333.36695102537,165000,,165000,,2022-01-13,2023-12-31,2022-01-13,,Aimé Mabika,Zambia,23,Inter Miami CF II,Defender - Centre-Back,https://www.transfermarkt.us/aime-mabika/profil/spieler/637490
Sergi Nus,CB,,,Tormenta,24.0,Spain,Spain,,133750.0,898844.3895789369,765094.3895789369,,,,,,,,,,,,,,
K. Fox,CB,,Tucson,Tucson,26.0,United States,United States,,133750.0,972008.8184303491,838258.8184303491,,,,,,,,,,,,,,
J. Crull,"FB,CB",,Union Omaha,Union Omaha,24.0,United States,United States,,133750.0,877241.3702404205,743491.3702404205,,,,,,,,,,,,,,
T. Maples,CB,,Toronto II,Toronto II,23.0,United States,United States,,133750.0,887721.8907767796,753971.8907767796,138000,,138000,,2022-02-19,2022-11-30,,,Talen Maples,United States,22 (23),Toronto FC II,Defender - Centre-Back,https://www.transfermarkt.us/talen-maples/profil/spieler/636492
M. Flick,"FB,CB",,North Carolina FC,North Carolina FC,27.0,United States,United States,,133750.0,900337.4492472204,766587.4492472204,138000,,138000,,2021-04-15,2022-11-30,2021-11-24,,Max Flick,United States,27,North Carolina FC,Defender - Centre-Back,https://www.transfermarkt.us/max-flick/profil/spieler/884329
J. Phelps,"CB,CF",,Tormenta,Tormenta,28.0,Australia,Australia,,133750.0,867113.7694773264,733363.7694773264,138000,,193000,,2018-09-11,2023-11-30,2021-12-08,,Joshua Phelps,Australia,28 (29),South Georgia Tormenta FC,Defender - Centre-Back,https://www.transfermarkt.us/joshua-phelps/profil/spieler/585726
J. Phelps,"CB,CF",,Tormenta,Tormenta,28.0,Australia,Australia,,133750.0,867113.7694773264,733363.7694773264,138000,,193000,,2018-09-11,2023-11-30,2021-12-08,,Joshua Phelps,Australia,29,South Georgia Tormenta FC,Defender - Centre-Back,https://www.transfermarkt.us/joshua-phelps/profil/spieler/585726
J. Phelps,"CB,CF",,Tormenta,Tormenta,28.0,Australia,Australia,,133750.0,867113.7694773264,733363.7694773264,138000,,193000,,2018-09-11,2023-11-30,2021-12-08,,Joshua Phelps,Australia,29,South Georgia Tormenta FC,Defender - Centre-Back,https://www.transfermarkt.us/joshua-phelps/profil/spieler/585726
J. Phelps,"CB,CF",,Tormenta,Tormenta,28.0,Australia,Australia,,133750.0,867113.7694773264,733363.7694773264,138000,,193000,,2018-09-11,2023-11-30,2021-12-08,,Joshua Phelps,Australia,29,South Georgia Tormenta FC,Defender - Centre-Back,https://www.transfermarkt.us/joshua-phelps/profil/spieler/585726
S. Biek,CB,2023-06-30,Horn,Tucson,24.0,Germany,Germany,both,133750.0,99809.77442927273,-33940.22557072727,,,,,,,,,,,,,,
E. Hardin,CB,,Inter Miami II,Fort Lauderdale,19.0,United States,United States,,133750.0,888715.2297634016,754965.2297634016,,,,,,,,,,,,,,
M. Méndez,CB,,Inter Miami,Fort Lauderdale,24.0,Cuba,Cuba,,133750.0,989384.5917266409,855634.5917266409,138000,,138000,,2020-02-15,2022-11-30,2022-02-24,,Modesto Méndez,Cuba,23 (24),Fort Lauderdale CF,Defender - Centre-Back,https://www.transfermarkt.us/modesto-mendez/profil/spieler/744587
M. Méndez,CB,,Inter Miami,Fort Lauderdale,24.0,Cuba,Cuba,,133750.0,989384.5917266409,855634.5917266409,138000,,138000,,2020-02-15,2022-11-30,2022-02-24,,Modesto Méndez,Cuba,24,Inter Miami CF II,Defender - Centre-Back,https://www.transfermarkt.us/modesto-mendez/profil/spieler/744587
M. Méndez,CB,,Inter Miami,Fort Lauderdale,24.0,Cuba,Cuba,,133750.0,989384.5917266409,855634.5917266409,138000,,138000,,2020-02-15,2022-11-30,2022-02-24,,Modesto Méndez,Cuba,24,Inter Miami CF II,Defender - Centre-Back,https://www.transfermarkt.us/modesto-mendez/profil/spieler/744587
M. Méndez,CB,,Inter Miami,Fort Lauderdale,24.0,Cuba,Cuba,,133750.0,989384.5917266409,855634.5917266409,138000,,138000,,2020-02-15,2022-11-30,2022-02-24,,Modesto Méndez,Cuba,24,Inter Miami CF II,Defender - Centre-Back,https://www.transfermarkt.us/modesto-mendez/profil/spieler/744587
L. Eckenrode,CB,2021-11-30,Tormenta,Tormenta,26.0,United States,United States,right,107000.0,136652.3656004251,29652.36560042511,110000,,110000,,2018-12-11,2022-11-30,2022-02-16,Ascension Athletes,Lars Eckenrode,United States-Germany,26 (27),South Georgia Tormenta FC,Defender - Centre-Back,https://www.transfermarkt.us/lars-eckenrode/profil/spieler/495565
Caiser Gomes,CB,,Alverca,North Texas,21.0,Guinea-Bissau,"Guinea-Bissau, Portugal",right,107000.0,892002.3443193777,785002.3443193777,,,,,,,,,,,,,,
L. Rodríguez,CB,,,Tormenta,26.0,Colombia,Colombia,right,107000.0,142084.40461603375,35084.404616033746,,,,,,,,,,,,,,
D. Navarro,CB,,Chattanooga Red Wolves,Chattanooga Red Wolves,30.0,United States,"United States, Brazil",right,107000.0,893107.1192511795,786107.1192511795,,,,,,,,,,,,,,
Alisson,"CB,CM",,North Texas,North Texas,22.0,Brazil,Brazil,,107000.0,104908.87173776688,-2091.12826223312,,,,,,,,,,,,,,
N. Higgins,CB,,Toronto II,Toronto II,23.0,United States,United States,,107000.0,88785.63253473892,-18214.36746526108,,,,,,,,,,,,,,
Shermaine Martina,CB,,,North Carolina FC,25.0,Curaçao,"Curaçao, Netherlands",right,107000.0,102729.94165817866,-4270.0583418213355,,,,,,,,,,,,,,
S. Capozucchi,"FB,CB",,Chattanooga Red Wolves,Chattanooga Red Wolves,25.0,United States,"United States, Italy",,107000.0,85714.42514156742,-21285.574858432577,,,,,,,,,,,,,,
M. Mbaye,CB,,North Carolina FC,North Carolina FC,25.0,Senegal,Senegal,,107000.0,931332.4447006811,824332.4447006811,110000,,110000,,2021-12-01,,,,Malick Mbaye,Senegal,24 (25),North Carolina FC,Defender - Centre-Back,https://www.transfermarkt.us/malick-mbaye/profil/spieler/735794
M. Mbaye,CB,,North Carolina FC,North Carolina FC,25.0,Senegal,Senegal,,107000.0,931332.4447006811,824332.4447006811,110000,,110000,,2021-12-01,,,,Malick Mbaye,Senegal,25,North Carolina FC,Defender - Centre-Back,https://www.transfermarkt.us/malick-mbaye/profil/spieler/735794
M. Mbaye,CB,,North Carolina FC,North Carolina FC,25.0,Senegal,Senegal,,107000.0,931332.4447006811,824332.4447006811,110000,,110000,,2021-12-01,,,,Malick Mbaye,Senegal,25,North Carolina FC,Defender - Centre-Back,https://www.transfermarkt.us/malick-mbaye/profil/spieler/735794
M. Mbaye,CB,,North Carolina FC,North Carolina FC,25.0,Senegal,Senegal,,107000.0,931332.4447006811,824332.4447006811,110000,,110000,,2021-12-01,,,,Malick Mbaye,Senegal,25,North Carolina FC,Defender - Centre-Back,https://www.transfermarkt.us/malick-mbaye/profil/spieler/735794
B. Fischer,CB,,North Carolina FC,North Carolina FC,17.0,United States,United States,right,107000.0,978285.1796558774,871285.1796558774,,,,,,,,,,,,,,
C. Thorn,"FB,CB",,Tormenta,Tormenta,26.0,United States,United States,,107000.0,1046205.9608928935,939205.9608928935,110000,,110000,,2020-08-27,2022-11-30,2021-12-01,STAG Management,Curtis Thorn,England,26,South Georgia Tormenta FC,Defender - Right-Back,https://www.transfermarkt.us/curtis-thorn/profil/spieler/805910
I. Osumanu,CB,,Union Omaha,Union Omaha,25.0,Ghana,Ghana,,107000.0,93328.08739059749,-13671.912609402512,,,,,,,,,,,,,,
B. Malone,CB,2021-11-30,Union Omaha,Union Omaha,20.0,United States,United States,right,107000.0,77595.37622276793,-29404.623777232075,,,,,,,,,,,,,,
P. Cayet,CB,2021-11-30,New England,New England II,22.0,France,France,,107000.0,1001676.8089083422,894676.8089083422,110000,,110000,,2021-04-28,2022-11-30,,,Pierre Cayet,France,22,New England Revolution II,Defender - Centre-Back,https://www.transfermarkt.us/pierre-cayet/profil/spieler/669359
