Player,Wy_Position,Wy_Contract expires,Wy_Team,Wy_Team within selected timeframe,Wy_Age,Wy_Birth country,Wy_Passport country,Wy_Foot,Wy_Market value,Wy_Market_value_predict,Wy_Market_value_diff,TM_Salary,TM_Salary Date,TM_Highest Market Value,TM_Date of Highest Value,TM_Joined Date,TM_Contract Until,TM_Date of Last Contract Extension,TM_Player Agent,TM_Player Name,TM_Nat.,TM_Age,TM_Club,TM_Position Detail,TM_player_href
J. Marshall-Rutty,"W,CF",,Toronto,Toronto II,17.0,Canada,Canada,,1605000.0,954039.0097030352,-650960.9902969648,3.30m,,3.30m,,2020-01-22,2022-12-31,,Agent is known - Player under 18,Jahkeele Marshall-Rutty,Canada-Jamaica,17,Toronto FC II,attack - Right Winger,https://www.transfermarkt.us/jahkeele-marshall-rutty/profil/spieler/640852
J. Nelson,"W,CF",2021-11-30,Toronto,Toronto II,18.0,Canada,"Canada, Jamaica",right,963000.0,130095.35758050665,-832904.6424194933,2.75m,,2.75m,,2020-01-23,2022-12-31,,ATG Sports,Jayden Nelson,Canada-Jamaica,18 (19),Toronto FC II,attack - Left Winger,https://www.transfermarkt.us/jayden-nelson/profil/spieler/635445
E. Gallardo,"W,CF",,Toronto,Toronto II,25.0,Venezuela,Venezuela,right,535000.0,192228.1141640324,-342771.8858359676,,,,,,,,,,,,,,
F. Vargas,CF,,Deportivo Lara U20,North Texas,22.0,Venezuela,Venezuela,right,428000.0,960970.1311801123,532970.1311801123,440000,,440000,,2017-07-01,,,TSM833 & Club22,Freddy Vargas,Venezuela,22 (23),North Texas SC,attack - Left Winger,https://www.transfermarkt.us/freddy-vargas/profil/spieler/494437
J. Perruzza,CF,,Toronto,Toronto II,20.0,Canada,"Canada, Italy",,267500.0,503993.5218772609,236493.52187726088,,,,,,,,,,,,,,
E. Conway,CF,,Union Omaha,Union Omaha,24.0,United States,United States,,240750.0,145178.69970426938,-95571.30029573062,248000,,248000,,2022-01-06,2022-11-30,,FSG USA,Evan Conway,United States,23 (24),Union Omaha,attack - Centre-Forward,https://www.transfermarkt.us/evan-conway/profil/spieler/737153
G. Hurst,CF,2021-11-30,Union Omaha,Union Omaha,24.0,Scotland,Scotland,right,240750.0,128449.98860398674,-112300.01139601326,248000,,248000,,2022-01-17,2023-11-30,,,Greg Hurst,Scotland,24 (25),Union Omaha,attack - Centre-Forward,https://www.transfermarkt.us/greg-hurst/profil/spieler/365032
G. Hurst,CF,2021-11-30,Union Omaha,Union Omaha,24.0,Scotland,Scotland,right,240750.0,128449.98860398674,-112300.01139601326,248000,,248000,,2022-01-17,2023-11-30,,,Greg Hurst,Scotland,25,Union Omaha,attack - Centre-Forward,https://www.transfermarkt.us/greg-hurst/profil/spieler/365032
G. Hurst,CF,2021-11-30,Union Omaha,Union Omaha,24.0,Scotland,Scotland,right,240750.0,128449.98860398674,-112300.01139601326,248000,,248000,,2022-01-17,2023-11-30,,,Greg Hurst,Scotland,25,Union Omaha,attack - Centre-Forward,https://www.transfermarkt.us/greg-hurst/profil/spieler/365032
G. Hurst,CF,2021-11-30,Union Omaha,Union Omaha,24.0,Scotland,Scotland,right,240750.0,128449.98860398674,-112300.01139601326,248000,,248000,,2022-01-17,2023-11-30,,,Greg Hurst,Scotland,25,Union Omaha,attack - Centre-Forward,https://www.transfermarkt.us/greg-hurst/profil/spieler/365032
G. Rayo,"W,CF",,North Texas,North Texas,20.0,United States,United States,,214000.0,179287.8023737074,-34712.19762629259,220000,,220000,,2022-03-15,2022-11-30,,Relatives,Gibran Rayo,United States-Mexico,20,North Texas SC,attack - Left Winger,https://www.transfermarkt.us/gibran-rayo/profil/spieler/666795
E. Kizza,CF,,New England,New England II,22.0,Uganda,Uganda,,214000.0,129780.57882203057,-84219.42117796943,220000,,220000,,2022-03-30,2022-11-30,,ICM Stellar Sports,Edward Kizza,Uganda,22 (23),New England Revolution II,attack - Centre-Forward,https://www.transfermarkt.us/edward-kizza/profil/spieler/857412
E. Kizza,CF,,New England,New England II,22.0,Uganda,Uganda,,214000.0,129780.57882203057,-84219.42117796943,220000,,220000,,2022-03-30,2022-11-30,,ICM Stellar Sports,Edward Kizza,Uganda,23,New England Revolution II,attack - Centre-Forward,https://www.transfermarkt.us/edward-kizza/profil/spieler/857412
E. Kizza,CF,,New England,New England II,22.0,Uganda,Uganda,,214000.0,129780.57882203057,-84219.42117796943,220000,,220000,,2022-03-30,2022-11-30,,ICM Stellar Sports,Edward Kizza,Uganda,23,New England Revolution II,attack - Centre-Forward,https://www.transfermarkt.us/edward-kizza/profil/spieler/857412
E. Kizza,CF,,New England,New England II,22.0,Uganda,Uganda,,214000.0,129780.57882203057,-84219.42117796943,220000,,220000,,2022-03-30,2022-11-30,,ICM Stellar Sports,Edward Kizza,Uganda,23,New England Revolution II,attack - Centre-Forward,https://www.transfermarkt.us/edward-kizza/profil/spieler/857412
E. Terzaghi,CF,2022-11-30,Richmond Kickers,Richmond Kickers,32.0,Argentina,Argentina,right,214000.0,123738.49283024095,-90261.50716975905,220000,,385000,,2020-01-24,2022-11-30,2020-12-01,CMWSportsMngt,Emiliano Terzaghi,Argentina,28 (29),Richmond Kickers,attack - Centre-Forward,https://www.transfermarkt.us/emiliano-terzaghi/profil/spieler/193779
