Player,Wy_Position,Wy_Contract expires,Wy_Team,Wy_Team within selected timeframe,Wy_Age,Wy_Birth country,Wy_Passport country,Wy_Foot,Wy_Market value,Wy_Market_value_predict,Wy_Market_value_diff,TM_Salary,TM_Salary Date,TM_Highest Market Value,TM_Date of Highest Value,TM_Joined Date,TM_Contract Until,TM_Date of Last Contract Extension,TM_Player Agent,TM_Player Name,TM_Nat.,TM_Age,TM_Club,TM_Position Detail,TM_player_href
L. Caicedo,CM,,New England II,New England II,25.0,Colombia,Colombia,right,802500.0,120626.49061133934,-681873.5093886607,,,,,,,,,,,,,,
Maciel,CM,,New England,New England II,21.0,Brazil,Brazil,,642000.0,107012.40903627334,-534987.5909637266,,,,,,,,,,,,,,
N. Okello,CM,,Toronto,Toronto II,21.0,Canada,Canada,right,588500.0,117577.22653049522,-470922.7734695048,605000,,605000,,2019-01-22,2022-12-31,2021-12-01,YMU Group,Noble Okello,Canada-Uganda,21,Toronto FC II,midfield - Defensive Midfield,https://www.transfermarkt.us/noble-okello/profil/spieler/544025
R. Priso,CM,2021-11-30,Toronto,Toronto II,19.0,Canada,Canada,left,535000.0,252111.3136419786,-282888.6863580214,,,,,,,,,,,,,,
E. Cerrillo,CM,,Dallas,North Texas,21.0,United States,United States,right,535000.0,1067935.4296955494,532935.4296955494,,,,,,,,,,,,,,
C. Dennis,"CM,AM",,Tucson,Tucson,26.0,United States,United States,,240750.0,382757.21895440214,142007.21895440214,248000,,248000,,2022-01-19,2022-11-30,,STAG Management,Charlie Dennis,England,26,FC Tucson,midfield - Central Midfield,https://www.transfermarkt.us/charlie-dennis/profil/spieler/563079
J. Rozhansky,CM,,New England II,New England II,25.0,United States,"United States, Israel",right,214000.0,393368.3809723452,179368.38097234519,,,,,,,,,,,,,,
A. Molloy,CM,,Memphis 901,Forward Madison,25.0,Republic of Ireland,Republic of Ireland,,214000.0,424713.88686460105,210713.88686460105,220000,,220000,,2022-01-11,2022-11-30,,Topnotch Management,Aaron Molloy,Ireland,24 (25),Forward Madison FC,midfield,https://www.transfermarkt.us/aaron-molloy/profil/spieler/428901
J. Almaguer,CM,2021-11-30,North Texas,North Texas,21.0,United States,United States,,187250.0,379530.1087716182,192280.10877161822,193000,,193000,,2022-02-04,2022-11-30,,PFC,Jorge Almaguer,United States,21,North Texas SC,midfield - Central Midfield,https://www.transfermarkt.us/jorge-almaguer/profil/spieler/663311
V. Falck,CM,,Richmond Kickers,Richmond Kickers,24.0,Sweden,Sweden,,187250.0,371561.06345678994,184311.06345678994,193000,,193000,,2022-02-13,2022-11-30,,Path2Pro,Victor Falck,Sweden,24,Richmond Kickers,midfield - Defensive Midfield,https://www.transfermarkt.us/victor-falck/profil/spieler/636293
V. Falck,CM,,Richmond Kickers,Richmond Kickers,24.0,Sweden,Sweden,,187250.0,371561.06345678994,184311.06345678994,193000,,193000,,2022-02-13,2022-11-30,,Path2Pro,Victor Falck,Sweden,24,Richmond Kickers,midfield - Defensive Midfield,https://www.transfermarkt.us/victor-falck/profil/spieler/636293
V. Falck,CM,,Richmond Kickers,Richmond Kickers,24.0,Sweden,Sweden,,187250.0,371561.06345678994,184311.06345678994,193000,,193000,,2022-02-13,2022-11-30,,Path2Pro,Victor Falck,Sweden,24,Richmond Kickers,midfield - Defensive Midfield,https://www.transfermarkt.us/victor-falck/profil/spieler/636293
