Player,Wy_Position,Wy_Contract expires,Wy_Team,Wy_Team within selected timeframe,Wy_Age,Wy_Birth country,Wy_Passport country,Wy_Foot,Wy_Market value,Wy_Market_value_predict,Wy_Market_value_diff,TM_Salary,TM_Salary Date,TM_Highest Market Value,TM_Date of Highest Value,TM_Joined Date,TM_Contract Until,TM_Date of Last Contract Extension,TM_Player Agent,TM_Player Name,TM_Nat.,TM_Age,TM_Club,TM_Position Detail,TM_player_href
A. Vaikla,GK,2021-11-30,Toronto II,Toronto II,24.0,Canada,"Canada, Estonia",right,160500.0,126439.09643134642,-34060.90356865358,165000,,220000,,2022-03-24,,,DKSM GROUP,Andreas Vaikla,Estonia,25,Toronto FC II,Goalkeeper,https://www.transfermarkt.us/andreas-vaikla/profil/spieler/250391
A. Vaikla,GK,2021-11-30,Toronto II,Toronto II,24.0,Canada,"Canada, Estonia",right,160500.0,126439.09643134642,-34060.90356865358,165000,,220000,,2022-03-24,,,DKSM GROUP,Andreas Vaikla,Estonia,25,Toronto FC II,Goalkeeper,https://www.transfermarkt.us/andreas-vaikla/profil/spieler/250391
A. Vaikla,GK,2021-11-30,Toronto II,Toronto II,24.0,Canada,"Canada, Estonia",right,160500.0,126439.09643134642,-34060.90356865358,165000,,220000,,2022-03-24,,,DKSM GROUP,Andreas Vaikla,Estonia,25,Toronto FC II,Goalkeeper,https://www.transfermarkt.us/andreas-vaikla/profil/spieler/250391
J. McGuire,GK,2021-11-30,North Carolina FC,North Carolina FC,27.0,United States,United States,right,160500.0,126096.42088467091,-34403.57911532909,,,,,,,,,,,,,,
P. Jara,GK,2023-11-30,Tormenta,Tormenta,27.0,Chile,Chile,right,160500.0,134131.93872100124,-26368.061278998764,165000,,193000,,2018-11-27,2023-11-30,2020-11-17,,Pablo Jara,Chile,28,South Georgia Tormenta FC,Goalkeeper,https://www.transfermarkt.us/pablo-jara/profil/spieler/585724
P. Jara,GK,2023-11-30,Tormenta,Tormenta,27.0,Chile,Chile,right,160500.0,134131.93872100124,-26368.061278998764,165000,,193000,,2018-11-27,2023-11-30,2020-11-17,,Pablo Jara,Chile,28,South Georgia Tormenta FC,Goalkeeper,https://www.transfermarkt.us/pablo-jara/profil/spieler/585724
P. Jara,GK,2023-11-30,Tormenta,Tormenta,27.0,Chile,Chile,right,160500.0,134131.93872100124,-26368.061278998764,165000,,193000,,2018-11-27,2023-11-30,2020-11-17,,Pablo Jara,Chile,28,South Georgia Tormenta FC,Goalkeeper,https://www.transfermarkt.us/pablo-jara/profil/spieler/585724
R. Sánchez,GK,,,North Texas,27.0,United States,"United States, Mexico",right,160500.0,132063.89188589188,-28436.108114108123,,,,,,,,,,,,,,
R. Nuhu,GK,,Union Omaha,Union Omaha,25.0,Ghana,"Ghana, United States",right,160500.0,139372.55366855365,-21127.44633144635,165000,,165000,,2020-02-16,2022-11-30,2022-01-14,Remington Ellis Management,Rashid Nuhu,Ghana,26,Union Omaha,Goalkeeper,https://www.transfermarkt.us/rashid-nuhu/profil/spieler/674379
R. Nuhu,GK,,Union Omaha,Union Omaha,25.0,Ghana,"Ghana, United States",right,160500.0,139372.55366855365,-21127.44633144635,165000,,165000,,2020-02-16,2022-11-30,2022-01-14,Remington Ellis Management,Rashid Nuhu,Ghana,26,Union Omaha,Goalkeeper,https://www.transfermarkt.us/rashid-nuhu/profil/spieler/674379
R. Nuhu,GK,,Union Omaha,Union Omaha,25.0,Ghana,"Ghana, United States",right,160500.0,139372.55366855365,-21127.44633144635,165000,,165000,,2020-02-16,2022-11-30,2022-01-14,Remington Ellis Management,Rashid Nuhu,Ghana,26,Union Omaha,Goalkeeper,https://www.transfermarkt.us/rashid-nuhu/profil/spieler/674379
E. Edwards,GK,,New England II,New England II,29.0,United States,United States,right,133750.0,101850.20856227109,-31899.791437728913,,,,,,,,,,,,,,
D. Castanheira,GK,,Atlanta United,Fort Lauderdale,26.0,United States,United States,right,133750.0,88089.35785048283,-45660.64214951717,,,,,,,,,,,,,,
W. Lapsley,GK,,Tucson,Tucson,24.0,United States,United States,,133750.0,105368.2002650128,-28381.799734987202,,,,,,,,,,,,,,
A. Fitzgerald,GK,,Richmond Kickers,Richmond Kickers,34.0,Japan,"Japan, United States",right,133750.0,126787.30295399047,-6962.697046009533,110000,,275000,,2019-02-06,2023-11-30,2021-12-02,Football Company Srl,Akira Fitzgerald,Japan,34,Richmond Kickers,Goalkeeper,https://www.transfermarkt.us/akira-fitzgerald/profil/spieler/191921
A. Fitzgerald,GK,,Richmond Kickers,Richmond Kickers,34.0,Japan,"Japan, United States",right,133750.0,126787.30295399047,-6962.697046009533,110000,,275000,,2019-02-06,2023-11-30,2021-12-02,Football Company Srl,Akira Fitzgerald,Japan,34,Richmond Kickers,Goalkeeper,https://www.transfermarkt.us/akira-fitzgerald/profil/spieler/191921
A. Fitzgerald,GK,,Richmond Kickers,Richmond Kickers,34.0,Japan,"Japan, United States",right,133750.0,126787.30295399047,-6962.697046009533,110000,,275000,,2019-02-06,2023-11-30,2021-12-02,Football Company Srl,Akira Fitzgerald,Japan,34,Richmond Kickers,Goalkeeper,https://www.transfermarkt.us/akira-fitzgerald/profil/spieler/191921
C. Ávilez,GK,,,Tormenta,22.0,United States,"United States, Mexico",,133750.0,88074.81816100568,-45675.18183899432,,,,,,,,,,,,,,
D. Jaye,GK,2021-11-30,Greenville Triumph,Greenville Triumph,28.0,United States,"United States, Guam",right,133750.0,118017.60762848264,-15732.392371517359,138000,,138000,,2022-01-19,2022-11-30,,First Team,Dallas Jaye,Guam,28,Greenville Triumph SC,Goalkeeper,https://www.transfermarkt.us/dallas-jaye/profil/spieler/256547
D. Jaye,GK,2021-11-30,Greenville Triumph,Greenville Triumph,28.0,United States,"United States, Guam",right,133750.0,118017.60762848264,-15732.392371517359,138000,,138000,,2022-01-19,2022-11-30,,First Team,Dallas Jaye,Guam,28,Greenville Triumph SC,Goalkeeper,https://www.transfermarkt.us/dallas-jaye/profil/spieler/256547
D. Jaye,GK,2021-11-30,Greenville Triumph,Greenville Triumph,28.0,United States,"United States, Guam",right,133750.0,118017.60762848264,-15732.392371517359,138000,,138000,,2022-01-19,2022-11-30,,First Team,Dallas Jaye,Guam,28,Greenville Triumph SC,Goalkeeper,https://www.transfermarkt.us/dallas-jaye/profil/spieler/256547
P. Breno,GK,,Forward Madison,Forward Madison,26.0,United States,United States,right,133750.0,121691.19635225886,-12058.803647741137,,,,,,,,,,,,,,
B. Knighton,GK,2021-11-30,New England,New England II,36.0,United States,United States,right,107000.0,80785.73414779661,-26214.26585220339,,,,,,,,,,,,,,
Luis Zamudio,GK,2021-11-30,Fort Lauderdale,Fort Lauderdale,23.0,United States,"United States, Mexico",right,107000.0,93787.93478743479,-13212.065212565212,,,,,,,,,,,,,,
C. Brady,GK,2023-12-31,Chicago Fire,Forward Madison,17.0,United States,United States,,107000.0,59907.35320929071,-47092.64679070929,,,,,,,,,,,,,,
K. Piedrahita,GK,,Union Omaha,Union Omaha,30.0,United States,United States,right,107000.0,91330.99821012322,-15669.001789876784,,,,,,,,,,,,,,
T. Trilk,GK,,Chattanooga Red Wolves,Chattanooga Red Wolves,23.0,United States,United States,,107000.0,102073.36944999447,-4926.630550005531,,,,,,,,,,,,,,
J. Rice,GK,,New England II,New England II,25.0,United States,United States,,107000.0,138014.01131507382,31014.011315073818,,,,,,,,,,,,,,
C. Shutler,GK,,North Texas,North Texas,23.0,United States,United States,,107000.0,93144.68844350096,-13855.311556499044,,,,,,,,,,,,,,
P. Christensen,GK,2021-11-30,Greenville Triumph,Greenville Triumph,25.0,United States,United States,right,107000.0,118158.2811840937,11158.281184093707,,,,,,,,,,,,,,
K. Silva,GK,2021-11-30,Toronto,Toronto II,23.0,United States,"United States, Brazil",left,80250.0,83768.36285936284,3518.362859362838,,,,,,,,,,,,,,
D. Callender,GK,,Inter Miami,Fort Lauderdale,24.0,United States,United States,,80250.0,104371.63954101458,24121.639541014578,,,,,,,,,,,,,,
S. Mora-Mora,GK,,Chattanooga Red Wolves,Chattanooga Red Wolves,23.0,United States,United States,,53500.0,67258.93257437008,13758.932574370076,,,,,,,,,,,,,,
A. Aviza,GK,,Richmond Kickers,Richmond Kickers,24.0,England,England,,53500.0,83604.8126942502,30104.8126942502,,,,,,,,,,,,,,
D. Las,GK,2022-06-30,Fulham U21,North Carolina FC,19.0,United States,"United States, Poland",right,0.0,63612.512515262526,63612.512515262526,,,,,,,,,,,,,,
