Player,Wy_Position,Wy_Contract expires,Wy_Team,Wy_Team within selected timeframe,Wy_Age,Wy_Birth country,Wy_Passport country,Wy_Foot,Wy_Market value,Wy_Market_value_predict,Wy_Market_value_diff,TM_Salary,TM_Salary Date,TM_Highest Market Value,TM_Date of Highest Value,TM_Joined Date,TM_Contract Until,TM_Date of Last Contract Extension,TM_Player Agent,TM_Player Name,TM_Nat.,TM_Age,TM_Club,TM_Position Detail,TM_player_href
J. Shaffelburg,"AM,W",,Toronto,Toronto II,22.0,Canada,Canada,left,2140000.0,71475.28834710259,-2068524.7116528973,,,,,,,,,,,,,,
J. Marshall-Rutty,"W,CF",,Toronto,Toronto II,17.0,Canada,Canada,,1605000.0,106965.03397270871,-1498034.9660272913,3.30m,,3.30m,,2020-01-22,2022-12-31,,Agent is known - Player under 18,Jahkeele Marshall-Rutty,Canada-Jamaica,17,Toronto FC II,attack - Right Winger,https://www.transfermarkt.us/jahkeele-marshall-rutty/profil/spieler/640852
J. Nelson,"W,CF",2021-11-30,Toronto,Toronto II,18.0,Canada,"Canada, Jamaica",right,963000.0,150319.5916304065,-812680.4083695936,2.75m,,2.75m,,2020-01-23,2022-12-31,,ATG Sports,Jayden Nelson,Canada-Jamaica,18 (19),Toronto FC II,attack - Left Winger,https://www.transfermarkt.us/jayden-nelson/profil/spieler/635445
E. Gallardo,"W,CF",,Toronto,Toronto II,25.0,Venezuela,Venezuela,right,535000.0,111357.58465459911,-423642.4153454009,,,,,,,,,,,,,,
E. Munjoma,"FB,W",2022-12-31,North Texas,North Texas,23.0,United States,United States,right,428000.0,102974.05429980194,-325025.94570019806,440000,,440000,,2020-01-13,2022-12-31,,Promoesport,Eddie Munjoma,United States,23,North Texas SC,Defender - Right-Back,https://www.transfermarkt.us/eddie-munjoma/profil/spieler/636468
M. Micaletto,W,,Tormenta,Tormenta,25.0,United States,United States,,240750.0,156296.49714818073,-84453.50285181927,248000,,248000,,2022-02-25,2022-11-30,,NOVERA Sports,Marco Micaletto,Italy-England,25 (26),South Georgia Tormenta FC,midfield - Attacking Midfield,https://www.transfermarkt.us/marco-micaletto/profil/spieler/511763
M. Micaletto,W,,Tormenta,Tormenta,25.0,United States,United States,,240750.0,156296.49714818073,-84453.50285181927,248000,,248000,,2022-02-25,2022-11-30,,NOVERA Sports,Marco Micaletto,Italy,26,South Georgia Tormenta FC,midfield - Attacking Midfield,https://www.transfermarkt.us/marco-micaletto/profil/spieler/511763
M. Micaletto,W,,Tormenta,Tormenta,25.0,United States,United States,,240750.0,156296.49714818073,-84453.50285181927,248000,,248000,,2022-02-25,2022-11-30,,NOVERA Sports,Marco Micaletto,Italy,26,South Georgia Tormenta FC,midfield - Attacking Midfield,https://www.transfermarkt.us/marco-micaletto/profil/spieler/511763
M. Micaletto,W,,Tormenta,Tormenta,25.0,United States,United States,,240750.0,156296.49714818073,-84453.50285181927,248000,,248000,,2022-02-25,2022-11-30,,NOVERA Sports,Marco Micaletto,Italy,26,South Georgia Tormenta FC,midfield - Attacking Midfield,https://www.transfermarkt.us/marco-micaletto/profil/spieler/511763
D. Rivera,"AM,W",2021-11-30,New England II,New England II,18.0,United States,United States,right,214000.0,163509.7773649726,-50490.2226350274,220000,,220000,,2019-11-08,2022-12-31,,,Damián Rivera,United States-Guatemala,18 (19),New England Revolution II,midfield - Left Midfield,https://www.transfermarkt.us/damian-rivera/profil/spieler/722649
G. Rayo,"W,CF",,North Texas,North Texas,20.0,United States,United States,,214000.0,127534.27671341672,-86465.72328658328,220000,,220000,,2022-03-15,2022-11-30,,Relatives,Gibran Rayo,United States-Mexico,20,North Texas SC,attack - Left Winger,https://www.transfermarkt.us/gibran-rayo/profil/spieler/666795
Damia Viader,"FB,W",,Union Omaha,Union Omaha,23.0,Spain,Spain,,214000.0,161911.6047565394,-52088.3952434606,,,,,,,,,,,,,,
J. Rennicks,"W,CF",2021-11-30,New England II,New England II,22.0,United States,United States,right,187250.0,137906.49428397906,-49343.50571602094,193000,,193000,,2019-01-18,2022-12-31,2021-12-03,Wasserman,Justin Rennicks,United States,22 (23),New England Revolution II,attack - Centre-Forward,https://www.transfermarkt.us/justin-rennicks/profil/spieler/368907
C. Presley,"FB,W",,New England II,New England II,23.0,United States,United States,right,187250.0,130827.45666687463,-56422.54333312537,193000,,220000,,2020-01-07,2022-11-30,2020-11-30,YMU Group,Connor Presley,United States,23,New England Revolution II,midfield - Right Midfield,https://www.transfermarkt.us/connor-presley/profil/spieler/531470
A. Liadi,"W,CF",,Tormenta,Tormenta,23.0,United States,United States,,187250.0,117162.66800528218,-70087.33199471782,193000,,193000,,2022-01-28,2022-11-30,,ICM Stellar Sports,Azaad Liadi,United States,23,South Georgia Tormenta FC,attack - Left Winger,https://www.transfermarkt.us/azaad-liadi/profil/spieler/744402
D. Boyce,W,,Union Omaha,Union Omaha,25.0,United States,United States,,187250.0,158986.62874988062,-28263.37125011938,193000,,193000,,2022-01-20,2022-11-30,,Path2Pro,Devin Boyce,United States,25,Union Omaha,midfield - Right Midfield,https://www.transfermarkt.us/devin-boyce/profil/spieler/795794
C. Doyle,"CM,W",,Union Omaha,Union Omaha,30.0,United States,United States,right,187250.0,137229.5100827635,-50020.4899172365,193000,,495000,,2021-01-22,2022-11-30,2021-12-21,,Conor Doyle,Ireland,30,Union Omaha,midfield - Central Midfield,https://www.transfermarkt.us/conor-doyle/profil/spieler/158233
C. Doyle,"CM,W",,Union Omaha,Union Omaha,30.0,United States,United States,right,187250.0,137229.5100827635,-50020.4899172365,193000,,495000,,2021-01-22,2022-11-30,2021-12-21,,Conor Doyle,Ireland,30,Union Omaha,midfield - Central Midfield,https://www.transfermarkt.us/conor-doyle/profil/spieler/158233
C. Doyle,"CM,W",,Union Omaha,Union Omaha,30.0,United States,United States,right,187250.0,137229.5100827635,-50020.4899172365,193000,,495000,,2021-01-22,2022-11-30,2021-12-21,,Conor Doyle,Ireland,30,Union Omaha,midfield - Central Midfield,https://www.transfermarkt.us/conor-doyle/profil/spieler/158233
S. Guediri,"FB,W",,Inter Miami,Fort Lauderdale,24.0,United States,United States,,160500.0,87320.89829589301,-73179.10170410699,,,,,,,,,,,,,,
Kazu,"FB,AM,W",,Coritiba U23,North Texas,21.0,Brazil,"Brazil, Japan",left,160500.0,146760.8347893473,-13739.165210652689,165000,,165000,,2020-01-01,,2021-01-29,Under,Kazu,Brazil,21 (22),North Texas SC,Defender - Left-Back,https://www.transfermarkt.us/kazu/profil/spieler/428993
Kazu,"FB,AM,W",,Coritiba U23,North Texas,21.0,Brazil,"Brazil, Japan",left,160500.0,146760.8347893473,-13739.165210652689,165000,,165000,,2020-01-01,,2021-01-29,Under,Kazu,Brazil,22,North Texas SC,Defender - Left-Back,https://www.transfermarkt.us/kazu/profil/spieler/428993
Kazu,"FB,AM,W",,Coritiba U23,North Texas,21.0,Brazil,"Brazil, Japan",left,160500.0,146760.8347893473,-13739.165210652689,165000,,165000,,2020-01-01,,2021-01-29,Under,Kazu,Brazil,22,North Texas SC,Defender - Left-Back,https://www.transfermarkt.us/kazu/profil/spieler/428993
Kazu,"FB,AM,W",,Coritiba U23,North Texas,21.0,Brazil,"Brazil, Japan",left,160500.0,146760.8347893473,-13739.165210652689,165000,,165000,,2020-01-01,,2021-01-29,Under,Kazu,Brazil,22,North Texas SC,Defender - Left-Back,https://www.transfermarkt.us/kazu/profil/spieler/428993
K. Elmedkhar,W,2022-12-31,Dallas,North Texas,22.0,United States,United States,,160500.0,152931.1763411844,-7568.823658815614,,,,,,,,,,,,,,
R. Ruiz,"AM,W,CF",,Chattanooga Red Wolves,Chattanooga Red Wolves,25.0,United States,United States,,160500.0,145992.70867878463,-14507.291321215365,165000,,165000,,2022-02-23,2022-11-30,,FSG USA,Ricky Ruiz,United States,24 (25),Chattanooga Red Wolves SC,midfield - Right Midfield,https://www.transfermarkt.us/ricky-ruiz/profil/spieler/758827
S. Adams,"AM,W",,Tucson,Tucson,23.0,United States,United States,,160500.0,126597.04911664709,-33902.95088335291,165000,,165000,,2022-01-20,2022-11-30,,,Shak Adams,United States,23,FC Tucson,attack - Left Winger,https://www.transfermarkt.us/shak-adams/profil/spieler/763520
Rafael Mentzingen,"AM,W,CF",,Chattanooga Red Wolves,Chattanooga Red Wolves,25.0,Brazil,Brazil,,160500.0,122383.0467399591,-38116.9532600409,,,,,,,,,,,,,,
Nicolas Firmino,"AM,W",,Union Omaha,Union Omaha,20.0,Brazil,Brazil,,160500.0,117996.11491623701,-42503.88508376299,,,,,,,,,,,,,,
J. Bolanos,"W,CF",,Richmond Kickers,Richmond Kickers,23.0,United States,United States,,160500.0,126979.71160317474,-33520.28839682526,165000,,165000,,2020-01-27,2022-11-30,2022-02-02,Ascension Athletes,Jonathan Bolanos,United States,23,Richmond Kickers,midfield - Attacking Midfield,https://www.transfermarkt.us/jonathan-bolanos/profil/spieler/637080
B. Kamungo,"AM,W,CF",2022-11-30,North Texas,North Texas,19.0,Tanzania,Tanzania,unknown,160500.0,126495.76346154958,-34004.23653845042,165000,,165000,,2021-03-25,2022-11-30,,D2PSports,Bernard Kamungo,Tanzania,19 (20),North Texas SC,attack - Right Winger,https://www.transfermarkt.us/bernard-kamungo/profil/spieler/876809
B. Kamungo,"AM,W,CF",2022-11-30,North Texas,North Texas,19.0,Tanzania,Tanzania,unknown,160500.0,126495.76346154958,-34004.23653845042,165000,,165000,,2021-03-25,2022-11-30,,D2PSports,Bernard Kamungo,Tanzania,20,North Texas SC,attack - Right Winger,https://www.transfermarkt.us/bernard-kamungo/profil/spieler/876809
B. Kamungo,"AM,W,CF",2022-11-30,North Texas,North Texas,19.0,Tanzania,Tanzania,unknown,160500.0,126495.76346154958,-34004.23653845042,165000,,165000,,2021-03-25,2022-11-30,,D2PSports,Bernard Kamungo,Tanzania,20,North Texas SC,attack - Right Winger,https://www.transfermarkt.us/bernard-kamungo/profil/spieler/876809
B. Kamungo,"AM,W,CF",2022-11-30,North Texas,North Texas,19.0,Tanzania,Tanzania,unknown,160500.0,126495.76346154958,-34004.23653845042,165000,,165000,,2021-03-25,2022-11-30,,D2PSports,Bernard Kamungo,Tanzania,20,North Texas SC,attack - Right Winger,https://www.transfermarkt.us/bernard-kamungo/profil/spieler/876809
M. Curry,"W,CF",,Hartford Athletic,Fort Lauderdale,22.0,England,England,,160500.0,112866.80624942706,-47633.193750572944,165000,,165000,,2022-01-27,2022-11-30,,Refuel Performance Management,Mitchell Curry,England,22,Fort Lauderdale CF,attack - Centre-Forward,https://www.transfermarkt.us/mitchell-curry/profil/spieler/399451
M. Bolduc,"CM,AM,W",,Richmond Kickers,Richmond Kickers,27.0,United States,United States,right,133750.0,104187.84224014908,-29562.157759850918,138000,,165000,,2017-05-17,2022-11-30,2021-12-07,,Matt Bolduc,United States,27,Richmond Kickers,midfield - Right Midfield,https://www.transfermarkt.us/matt-bolduc/profil/spieler/430348
A. Morrell,"AM,W",,Greenville Triumph,Greenville Triumph,27.0,United States,United States,right,133750.0,141066.82656645373,7316.826566453732,,,,,,,,,,,,,,
S. Miscic,"AM,W",,Philadelphia Union II,North Carolina FC,18.0,United States,United States,,133750.0,132828.44078913843,-921.5592108615674,138000,,138000,,2022-03-28,2022-12-31,,PROSPORT Management,Selmir Miscic,United States-Bosnia-Herzegovina,18 (19),North Carolina FC,midfield - Attacking Midfield,https://www.transfermarkt.us/selmir-miscic/profil/spieler/628251
K. Thompson,"W,CF",,Toronto II,Toronto II,18.0,Canada,Canada,,133750.0,133443.69968635438,-306.30031364562456,138000,,138000,,2022-02-25,2024-12-31,,,Kosi Thompson,Canada,18 (19),Toronto FC II,midfield - Right Midfield,https://www.transfermarkt.us/kosi-thompson/profil/spieler/893148
J. Donnelly,"AM,W,CF",,Greenville Triumph,Greenville Triumph,24.0,England,England,,133750.0,63146.38909663435,-70603.61090336565,138000,,138000,,2021-12-01,,,HNG Talent ltd,Joshua Donnelly,England,24 (25),Greenville Triumph SC,attack - Centre-Forward,https://www.transfermarkt.us/joshua-donnelly/profil/spieler/635967
E. Bryant,"CM,W",,San Antonio,Richmond Kickers,20.0,United States,United States,right,133750.0,80790.75760141521,-52959.242398584785,,,,,,,,,,,,,,
J. Coan,"AM,W",,North Carolina FC,North Carolina FC,23.0,United States,United States,,133750.0,129407.03359193553,-4342.9664080644725,138000,,138000,,2022-02-17,2022-11-30,,Topnotch Management,Josh Coan,United States,23 (24),North Carolina FC,attack - Left Winger,https://www.transfermarkt.us/josh-coan/profil/spieler/763523
